x,measure_category,m,x_lbl,categ_lbl,age_bin,min_n,corr_metric,data_transform,n_obs
age_group,beh,0.04405668269450021,Age,Respondent,20,250,spearman,none,365
domain_name,beh,0.10476196325453979,Domain,Measure,20,250,spearman,none,365
gender_group,beh,-0.0016366618473032451,Gender,Respondent,20,250,spearman,none,365
item_num,beh,0.005994632774967034,Num. of Items,Measure,20,250,spearman,none,365
panel,beh,0.32029599066543707,Panel,Panel,20,250,spearman,none,365
sample_size,beh,0.05332952944682049,n,Respondent,20,250,spearman,none,365
scale_type,beh,0.004016941732659889,Scale Type,Measure,20,250,spearman,none,365
time_diff_mean,beh,0.10355195013394014,Retest Interval,Measure,20,250,spearman,none,365
age_group,beh,0.04431320425672088,Age,Respondent,20,250,pearson,none,365
domain_name,beh,0.11429287196245538,Domain,Measure,20,250,pearson,none,365
gender_group,beh,-0.0012499289399723421,Gender,Respondent,20,250,pearson,none,365
item_num,beh,0.00484154792437688,Num. of Items,Measure,20,250,pearson,none,365
panel,beh,0.2947384953725885,Panel,Panel,20,250,pearson,none,365
sample_size,beh,0.05054703871479879,n,Respondent,20,250,pearson,none,365
scale_type,beh,0.0031750361234408777,Scale Type,Measure,20,250,pearson,none,365
time_diff_mean,beh,0.10009216485348013,Retest Interval,Measure,20,250,pearson,none,365
age_group,beh,0.049774852280691825,Age,Respondent,20,250,icc2_1,none,365
domain_name,beh,0.11068013810460405,Domain,Measure,20,250,icc2_1,none,365
gender_group,beh,-4.3305026901322043e-4,Gender,Respondent,20,250,icc2_1,none,365
item_num,beh,0.005044508310833343,Num. of Items,Measure,20,250,icc2_1,none,365
panel,beh,0.28149247077040485,Panel,Panel,20,250,icc2_1,none,365
sample_size,beh,0.051149140523202685,n,Respondent,20,250,icc2_1,none,365
scale_type,beh,0.003463587021535699,Scale Type,Measure,20,250,icc2_1,none,365
time_diff_mean,beh,0.10126258596959199,Retest Interval,Measure,20,250,icc2_1,none,365
age_group,beh,0.04405668269450021,Age,Respondent,20,250,spearman,log,365
domain_name,beh,0.10476196325453979,Domain,Measure,20,250,spearman,log,365
gender_group,beh,-0.0016366618473032451,Gender,Respondent,20,250,spearman,log,365
item_num,beh,0.005994632774967034,Num. of Items,Measure,20,250,spearman,log,365
panel,beh,0.32029599066543707,Panel,Panel,20,250,spearman,log,365
sample_size,beh,0.05332952944682049,n,Respondent,20,250,spearman,log,365
scale_type,beh,0.004016941732659889,Scale Type,Measure,20,250,spearman,log,365
time_diff_mean,beh,0.10355195013394014,Retest Interval,Measure,20,250,spearman,log,365
age_group,beh,0.04312247227708635,Age,Respondent,20,250,pearson,log,365
domain_name,beh,0.11478669138117235,Domain,Measure,20,250,pearson,log,365
gender_group,beh,-0.0012835769364989205,Gender,Respondent,20,250,pearson,log,365
item_num,beh,0.005216644601885606,Num. of Items,Measure,20,250,pearson,log,365
panel,beh,0.2949850402450619,Panel,Panel,20,250,pearson,log,365
sample_size,beh,0.049785947226466676,n,Respondent,20,250,pearson,log,365
scale_type,beh,0.003413918140753989,Scale Type,Measure,20,250,pearson,log,365
time_diff_mean,beh,0.09705387292673628,Retest Interval,Measure,20,250,pearson,log,365
age_group,beh,0.04431320425672088,Age,Respondent,20,250,icc2_1,log,365
domain_name,beh,0.11429287196245538,Domain,Measure,20,250,icc2_1,log,365
gender_group,beh,-0.0012499289399723421,Gender,Respondent,20,250,icc2_1,log,365
item_num,beh,0.00484154792437688,Num. of Items,Measure,20,250,icc2_1,log,365
panel,beh,0.2947384953725885,Panel,Panel,20,250,icc2_1,log,365
sample_size,beh,0.05054703871479879,n,Respondent,20,250,icc2_1,log,365
scale_type,beh,0.0031750361234408777,Scale Type,Measure,20,250,icc2_1,log,365
time_diff_mean,beh,0.10009216485348013,Retest Interval,Measure,20,250,icc2_1,log,365
age_group,beh,0.0034816172817120987,Age,Respondent,20,100,spearman,none,630
domain_name,beh,0.0904782304002243,Domain,Measure,20,100,spearman,none,630
gender_group,beh,-8.413360093139551e-5,Gender,Respondent,20,100,spearman,none,630
item_num,beh,0.006084279940754985,Num. of Items,Measure,20,100,spearman,none,630
panel,beh,0.23749786474060247,Panel,Panel,20,100,spearman,none,630
sample_size,beh,0.028977719181648237,n,Respondent,20,100,spearman,none,630
scale_type,beh,0.005572180814262181,Scale Type,Measure,20,100,spearman,none,630
time_diff_mean,beh,0.06548821795504907,Retest Interval,Measure,20,100,spearman,none,630
age_group,beh,0.0037917623309268143,Age,Respondent,20,100,pearson,none,630
domain_name,beh,0.08749255858040758,Domain,Measure,20,100,pearson,none,630
gender_group,beh,7.370816458254976e-4,Gender,Respondent,20,100,pearson,none,630
item_num,beh,0.00761758811535583,Num. of Items,Measure,20,100,pearson,none,630
panel,beh,0.20422150079140242,Panel,Panel,20,100,pearson,none,630
sample_size,beh,0.02524117603724588,n,Respondent,20,100,pearson,none,630
scale_type,beh,0.007883200050541222,Scale Type,Measure,20,100,pearson,none,630
time_diff_mean,beh,0.060156953331560084,Retest Interval,Measure,20,100,pearson,none,630
age_group,beh,0.002941312582266418,Age,Respondent,20,100,icc2_1,none,630
domain_name,beh,0.09067784870879349,Domain,Measure,20,100,icc2_1,none,630
gender_group,beh,0.0032937511578872308,Gender,Respondent,20,100,icc2_1,none,630
item_num,beh,0.007947630191644028,Num. of Items,Measure,20,100,icc2_1,none,630
panel,beh,0.20700422944027383,Panel,Panel,20,100,icc2_1,none,630
sample_size,beh,0.026617429738526068,n,Respondent,20,100,icc2_1,none,630
scale_type,beh,0.008957349504318706,Scale Type,Measure,20,100,icc2_1,none,630
time_diff_mean,beh,0.05944393576577618,Retest Interval,Measure,20,100,icc2_1,none,630
age_group,beh,0.0034816172817120987,Age,Respondent,20,100,spearman,log,630
domain_name,beh,0.0904782304002243,Domain,Measure,20,100,spearman,log,630
gender_group,beh,-8.413360093139551e-5,Gender,Respondent,20,100,spearman,log,630
item_num,beh,0.006084279940754985,Num. of Items,Measure,20,100,spearman,log,630
panel,beh,0.23749786474060247,Panel,Panel,20,100,spearman,log,630
sample_size,beh,0.028977719181648237,n,Respondent,20,100,spearman,log,630
scale_type,beh,0.005572180814262181,Scale Type,Measure,20,100,spearman,log,630
time_diff_mean,beh,0.06548821795504907,Retest Interval,Measure,20,100,spearman,log,630
age_group,beh,0.0035251337256962355,Age,Respondent,20,100,pearson,log,630
domain_name,beh,0.08558866572803585,Domain,Measure,20,100,pearson,log,630
gender_group,beh,5.987186427116515e-4,Gender,Respondent,20,100,pearson,log,630
item_num,beh,0.00758076049328216,Num. of Items,Measure,20,100,pearson,log,630
panel,beh,0.2046532882654554,Panel,Panel,20,100,pearson,log,630
sample_size,beh,0.025193924367969682,n,Respondent,20,100,pearson,log,630
scale_type,beh,0.007968776769169834,Scale Type,Measure,20,100,pearson,log,630
time_diff_mean,beh,0.0576748820901832,Retest Interval,Measure,20,100,pearson,log,630
age_group,beh,0.0037917623309268143,Age,Respondent,20,100,icc2_1,log,630
domain_name,beh,0.08749255858040758,Domain,Measure,20,100,icc2_1,log,630
gender_group,beh,7.370816458254976e-4,Gender,Respondent,20,100,icc2_1,log,630
item_num,beh,0.00761758811535583,Num. of Items,Measure,20,100,icc2_1,log,630
panel,beh,0.20422150079140242,Panel,Panel,20,100,icc2_1,log,630
sample_size,beh,0.02524117603724588,n,Respondent,20,100,icc2_1,log,630
scale_type,beh,0.007883200050541222,Scale Type,Measure,20,100,icc2_1,log,630
time_diff_mean,beh,0.060156953331560084,Retest Interval,Measure,20,100,icc2_1,log,630
age_group,beh,0.003659832475973888,Age,Respondent,20,30,spearman,none,1151
domain_name,beh,0.06330925341728072,Domain,Measure,20,30,spearman,none,1151
gender_group,beh,-4.331306903909717e-4,Gender,Respondent,20,30,spearman,none,1151
item_num,beh,0.0016286640212533302,Num. of Items,Measure,20,30,spearman,none,1151
panel,beh,0.1627638211539371,Panel,Panel,20,30,spearman,none,1151
sample_size,beh,0.009506527782377492,n,Respondent,20,30,spearman,none,1151
scale_type,beh,2.259607527400773e-4,Scale Type,Measure,20,30,spearman,none,1151
time_diff_mean,beh,0.018526826168501386,Retest Interval,Measure,20,30,spearman,none,1151
age_group,beh,0.008274050492870071,Age,Respondent,20,30,pearson,none,1151
domain_name,beh,0.058758586315320216,Domain,Measure,20,30,pearson,none,1151
gender_group,beh,-5.419305412936593e-4,Gender,Respondent,20,30,pearson,none,1151
item_num,beh,0.0012374942231689375,Num. of Items,Measure,20,30,pearson,none,1151
panel,beh,0.13261455949496898,Panel,Panel,20,30,pearson,none,1151
sample_size,beh,0.007991696492897752,n,Respondent,20,30,pearson,none,1151
scale_type,beh,2.4985805475423066e-4,Scale Type,Measure,20,30,pearson,none,1151
time_diff_mean,beh,0.01950914152542829,Retest Interval,Measure,20,30,pearson,none,1151
age_group,beh,0.00810471228758527,Age,Respondent,20,30,icc2_1,none,1151
domain_name,beh,0.07296295878788119,Domain,Measure,20,30,icc2_1,none,1151
gender_group,beh,6.842965406804972e-4,Gender,Respondent,20,30,icc2_1,none,1151
item_num,beh,0.003349052675117399,Num. of Items,Measure,20,30,icc2_1,none,1151
panel,beh,0.13965542461855607,Panel,Panel,20,30,icc2_1,none,1151
sample_size,beh,0.00797667638734093,n,Respondent,20,30,icc2_1,none,1151
scale_type,beh,6.326983616305453e-4,Scale Type,Measure,20,30,icc2_1,none,1151
time_diff_mean,beh,0.01885207435498547,Retest Interval,Measure,20,30,icc2_1,none,1151
age_group,beh,0.003659832475973888,Age,Respondent,20,30,spearman,log,1151
domain_name,beh,0.06330925341728072,Domain,Measure,20,30,spearman,log,1151
gender_group,beh,-4.331306903909717e-4,Gender,Respondent,20,30,spearman,log,1151
item_num,beh,0.0016286640212533302,Num. of Items,Measure,20,30,spearman,log,1151
panel,beh,0.1627638211539371,Panel,Panel,20,30,spearman,log,1151
sample_size,beh,0.009506527782377492,n,Respondent,20,30,spearman,log,1151
scale_type,beh,2.259607527400773e-4,Scale Type,Measure,20,30,spearman,log,1151
time_diff_mean,beh,0.018526826168501386,Retest Interval,Measure,20,30,spearman,log,1151
age_group,beh,0.007211894017280633,Age,Respondent,20,30,pearson,log,1151
domain_name,beh,0.05849018810100457,Domain,Measure,20,30,pearson,log,1151
