x,measure_category,m,x_lbl,categ_lbl,age_bin,min_n,corr_metric,data_transform,n_obs
age_group,fre,0.0884033137337844,Age,Respondent,20,250,spearman,none,23336
domain_name,fre,0.19471309568406506,NA,NA,20,250,spearman,none,23336
gender_group,fre,0.003987648922036906,Gender,Respondent,20,250,spearman,none,23336
panel,fre,0.203370955579456,Panel,Panel,20,250,spearman,none,23336
sample_size,fre,0.0025487066942784047,n,Respondent,20,250,spearman,none,23336
scale_type,fre,0.006721291849489842,Scale Type,Measure,20,250,spearman,none,23336
time_diff_mean,fre,0.0629067108994782,Retest Interval,Measure,20,250,spearman,none,23336
age_group,fre,0.08461854132042423,Age,Respondent,20,250,pearson,none,23336
domain_name,fre,0.17999273975524935,NA,NA,20,250,pearson,none,23336
gender_group,fre,0.001989453971372532,Gender,Respondent,20,250,pearson,none,23336
panel,fre,0.21870391877587456,Panel,Panel,20,250,pearson,none,23336
sample_size,fre,0.0034540953306457373,n,Respondent,20,250,pearson,none,23336
scale_type,fre,0.0032753476300436853,Scale Type,Measure,20,250,pearson,none,23336
time_diff_mean,fre,0.07518768643864382,Retest Interval,Measure,20,250,pearson,none,23336
age_group,fre,0.0746819749316484,Age,Respondent,20,250,icc2_1,none,23336
domain_name,fre,0.1688278078656053,NA,NA,20,250,icc2_1,none,23336
gender_group,fre,0.00109496868669348,Gender,Respondent,20,250,icc2_1,none,23336
panel,fre,0.21660620671265263,Panel,Panel,20,250,icc2_1,none,23336
sample_size,fre,0.004733707766969401,n,Respondent,20,250,icc2_1,none,23336
scale_type,fre,0.00874567123566211,Scale Type,Measure,20,250,icc2_1,none,23336
time_diff_mean,fre,0.08387638307898489,Retest Interval,Measure,20,250,icc2_1,none,23336
age_group,fre,0.0884033137337844,Age,Respondent,20,250,spearman,log,23336
domain_name,fre,0.19471309568406506,NA,NA,20,250,spearman,log,23336
gender_group,fre,0.003987648922036906,Gender,Respondent,20,250,spearman,log,23336
panel,fre,0.203370955579456,Panel,Panel,20,250,spearman,log,23336
sample_size,fre,0.0025487066942784047,n,Respondent,20,250,spearman,log,23336
scale_type,fre,0.006721291849489842,Scale Type,Measure,20,250,spearman,log,23336
time_diff_mean,fre,0.0629067108994782,Retest Interval,Measure,20,250,spearman,log,23336
age_group,fre,0.08633719144421255,Age,Respondent,20,250,pearson,log,23336
domain_name,fre,0.1845366797481183,NA,NA,20,250,pearson,log,23336
gender_group,fre,0.001899826731245337,Gender,Respondent,20,250,pearson,log,23336
panel,fre,0.2182884281325132,Panel,Panel,20,250,pearson,log,23336
sample_size,fre,0.0030365707507716017,n,Respondent,20,250,pearson,log,23336
scale_type,fre,0.003346021321628482,Scale Type,Measure,20,250,pearson,log,23336
time_diff_mean,fre,0.06943784710595498,Retest Interval,Measure,20,250,pearson,log,23336
age_group,fre,0.08461854132042423,Age,Respondent,20,250,icc2_1,log,23336
domain_name,fre,0.17999273975524935,NA,NA,20,250,icc2_1,log,23336
gender_group,fre,0.001989453971372532,Gender,Respondent,20,250,icc2_1,log,23336
panel,fre,0.21870391877587456,Panel,Panel,20,250,icc2_1,log,23336
sample_size,fre,0.0034540953306457373,n,Respondent,20,250,icc2_1,log,23336
scale_type,fre,0.0032753476300436853,Scale Type,Measure,20,250,icc2_1,log,23336
time_diff_mean,fre,0.07518768643864382,Retest Interval,Measure,20,250,icc2_1,log,23336
age_group,fre,0.07339799343867151,Age,Respondent,20,100,spearman,none,27407
domain_name,fre,0.16141891674818762,NA,NA,20,100,spearman,none,27407
gender_group,fre,0.0045604271330636015,Gender,Respondent,20,100,spearman,none,27407
panel,fre,0.20148088578330411,Panel,Panel,20,100,spearman,none,27407
sample_size,fre,0.003646538676832734,n,Respondent,20,100,spearman,none,27407
scale_type,fre,0.006954586828845072,Scale Type,Measure,20,100,spearman,none,27407
time_diff_mean,fre,0.06611114093840167,Retest Interval,Measure,20,100,spearman,none,27407
age_group,fre,0.07153739722956345,Age,Respondent,20,100,pearson,none,27407
domain_name,fre,0.14957524849770615,NA,NA,20,100,pearson,none,27407
gender_group,fre,0.0017973553990326835,Gender,Respondent,20,100,pearson,none,27407
panel,fre,0.21445694077382726,Panel,Panel,20,100,pearson,none,27407
sample_size,fre,0.004570363697731254,n,Respondent,20,100,pearson,none,27407
scale_type,fre,0.002939297935881221,Scale Type,Measure,20,100,pearson,none,27407
time_diff_mean,fre,0.07922256830059815,Retest Interval,Measure,20,100,pearson,none,27407
age_group,fre,0.0659486378021196,Age,Respondent,20,100,icc2_1,none,27407
domain_name,fre,0.13908640349754184,NA,NA,20,100,icc2_1,none,27407
gender_group,fre,5.224557033126742e-4,Gender,Respondent,20,100,icc2_1,none,27407
panel,fre,0.20856320273795995,Panel,Panel,20,100,icc2_1,none,27407
sample_size,fre,0.004904761451419184,n,Respondent,20,100,icc2_1,none,27407
scale_type,fre,0.007635843166307123,Scale Type,Measure,20,100,icc2_1,none,27407
time_diff_mean,fre,0.08609443250382028,Retest Interval,Measure,20,100,icc2_1,none,27407
age_group,fre,0.07339799343867151,Age,Respondent,20,100,spearman,log,27407
domain_name,fre,0.16141891674818762,NA,NA,20,100,spearman,log,27407
gender_group,fre,0.0045604271330636015,Gender,Respondent,20,100,spearman,log,27407
panel,fre,0.20148088578330411,Panel,Panel,20,100,spearman,log,27407
sample_size,fre,0.003646538676832734,n,Respondent,20,100,spearman,log,27407
scale_type,fre,0.006954586828845072,Scale Type,Measure,20,100,spearman,log,27407
time_diff_mean,fre,0.06611114093840167,Retest Interval,Measure,20,100,spearman,log,27407
