x,measure_category,m,x_lbl,categ_lbl,age_bin,min_n,corr_metric,data_transform,n_obs
age_group,Omnibus,0.07982803258425018,Age,Respondent,20,250,spearman,none,28955
domain_name,Omnibus,0.1940992964626588,Domain,Measure,20,250,spearman,none,28955
gender_group,Omnibus,0.004052967405219999,Gender,Respondent,20,250,spearman,none,28955
item_num,Omnibus,0.0016224745471887729,Num. of Items,Measure,20,250,spearman,none,28955
measure_category,Omnibus,0.016205670209527963,Category,Measure,20,250,spearman,none,28955
panel,Omnibus,0.20635977014355994,Panel,Panel,20,250,spearman,none,28955
sample_size,Omnibus,0.0032326385362650414,n,Respondent,20,250,spearman,none,28955
scale_type,Omnibus,0.010058850835133954,Scale Type,Measure,20,250,spearman,none,28955
time_diff_mean,Omnibus,0.060110657736449365,Retest Interval,Measure,20,250,spearman,none,28955
age_group,Omnibus,0.07458252537913311,Age,Respondent,20,250,pearson,none,28955
domain_name,Omnibus,0.18469432634232266,Domain,Measure,20,250,pearson,none,28955
gender_group,Omnibus,0.0020276081081900296,Gender,Respondent,20,250,pearson,none,28955
item_num,Omnibus,0.0017318314905107695,Num. of Items,Measure,20,250,pearson,none,28955
measure_category,Omnibus,0.02244125126372268,Category,Measure,20,250,pearson,none,28955
panel,Omnibus,0.22017606904885312,Panel,Panel,20,250,pearson,none,28955
sample_size,Omnibus,0.0041039180202251,n,Respondent,20,250,pearson,none,28955
scale_type,Omnibus,0.005855664096341667,Scale Type,Measure,20,250,pearson,none,28955
time_diff_mean,Omnibus,0.07129123616360598,Retest Interval,Measure,20,250,pearson,none,28955
age_group,Omnibus,0.06594609490105814,Age,Respondent,20,250,icc2_1,none,28955
domain_name,Omnibus,0.1702063892734513,Domain,Measure,20,250,icc2_1,none,28955
gender_group,Omnibus,0.001330312379304421,Gender,Respondent,20,250,icc2_1,none,28955
item_num,Omnibus,0.0014911892620749604,Num. of Items,Measure,20,250,icc2_1,none,28955
measure_category,Omnibus,0.01822730032280711,Category,Measure,20,250,icc2_1,none,28955
panel,Omnibus,0.22759962601587977,Panel,Panel,20,250,icc2_1,none,28955
sample_size,Omnibus,0.004795134203475208,n,Respondent,20,250,icc2_1,none,28955
scale_type,Omnibus,0.007108625983145487,Scale Type,Measure,20,250,icc2_1,none,28955
time_diff_mean,Omnibus,0.0793313989433696,Retest Interval,Measure,20,250,icc2_1,none,28955
age_group,Omnibus,0.07982803258425018,Age,Respondent,20,250,spearman,log,28955
domain_name,Omnibus,0.1940992964626588,Domain,Measure,20,250,spearman,log,28955
gender_group,Omnibus,0.004052967405219999,Gender,Respondent,20,250,spearman,log,28955
