x,measure_category,m,x_lbl,categ_lbl,age_bin,min_n,corr_metric,data_transform,n_obs
age_group,pro,0.05180169977182818,Age,Respondent,20,250,spearman,none,4514
domain_name,pro,0.0618784474875573,NA,NA,20,250,spearman,none,4514
gender_group,pro,0.023409554478759684,Gender,Respondent,20,250,spearman,none,4514
panel,pro,0.3376305021954098,Panel,Panel,20,250,spearman,none,4514
sample_size,pro,0.05910217193371821,n,Respondent,20,250,spearman,none,4514
scale_type,pro,2.0593897456046588e-4,Scale Type,Measure,20,250,spearman,none,4514
time_diff_mean,pro,0.04331763605323747,Retest Interval,Measure,20,250,spearman,none,4514
age_group,pro,0.05215994302061391,Age,Respondent,20,250,pearson,none,4514
domain_name,pro,0.0775378404458939,NA,NA,20,250,pearson,none,4514
gender_group,pro,0.021698703206541617,Gender,Respondent,20,250,pearson,none,4514
panel,pro,0.3221834561077723,Panel,Panel,20,250,pearson,none,4514
sample_size,pro,0.048369179748055456,n,Respondent,20,250,pearson,none,4514
scale_type,pro,8.033682151074356e-4,Scale Type,Measure,20,250,pearson,none,4514
time_diff_mean,pro,0.04516900197200458,Retest Interval,Measure,20,250,pearson,none,4514
age_group,pro,0.04213735322291813,Age,Respondent,20,250,icc2_1,none,4514
domain_name,pro,0.049803502310788283,NA,NA,20,250,icc2_1,none,4514
gender_group,pro,0.03200059696326299,Gender,Respondent,20,250,icc2_1,none,4514
panel,pro,0.3071366214778161,Panel,Panel,20,250,icc2_1,none,4514
sample_size,pro,0.06353275751336475,n,Respondent,20,250,icc2_1,none,4514
scale_type,pro,9.106032434383836e-4,Scale Type,Measure,20,250,icc2_1,none,4514
time_diff_mean,pro,0.03996003168337164,Retest Interval,Measure,20,250,icc2_1,none,4514
age_group,pro,0.05180169977182818,Age,Respondent,20,250,spearman,log,4514
domain_name,pro,0.0618784474875573,NA,NA,20,250,spearman,log,4514
gender_group,pro,0.023409554478759684,Gender,Respondent,20,250,spearman,log,4514
panel,pro,0.3376305021954098,Panel,Panel,20,250,spearman,log,4514
sample_size,pro,0.05910217193371821,n,Respondent,20,250,spearman,log,4514
scale_type,pro,2.0593897456046588e-4,Scale Type,Measure,20,250,spearman,log,4514
time_diff_mean,pro,0.04331763605323747,Retest Interval,Measure,20,250,spearman,log,4514
age_group,pro,0.053980724564626166,Age,Respondent,20,250,pearson,log,4514
domain_name,pro,0.07469021749922548,NA,NA,20,250,pearson,log,4514
gender_group,pro,0.023105179470146633,Gender,Respondent,20,250,pearson,log,4514
panel,pro,0.33175986704096905,Panel,Panel,20,250,pearson,log,4514
sample_size,pro,0.04731078080855395,n,Respondent,20,250,pearson,log,4514
scale_type,pro,7.872596865299275e-4,Scale Type,Measure,20,250,pearson,log,4514
time_diff_mean,pro,0.04311576490177548,Retest Interval,Measure,20,250,pearson,log,4514
age_group,pro,0.05215994302061391,Age,Respondent,20,250,icc2_1,log,4514
domain_name,pro,0.0775378404458939,NA,NA,20,250,icc2_1,log,4514
gender_group,pro,0.021698703206541617,Gender,Respondent,20,250,icc2_1,log,4514
panel,pro,0.3221834561077723,Panel,Panel,20,250,icc2_1,log,4514
sample_size,pro,0.048369179748055456,n,Respondent,20,250,icc2_1,log,4514
scale_type,pro,8.033682151074356e-4,Scale Type,Measure,20,250,icc2_1,log,4514
time_diff_mean,pro,0.04516900197200458,Retest Interval,Measure,20,250,icc2_1,log,4514
age_group,pro,0.02663825768953438,Age,Respondent,20,100,spearman,none,9365
domain_name,pro,0.03404482764902758,NA,NA,20,100,spearman,none,9365
gender_group,pro,0.024753474157921337,Gender,Respondent,20,100,spearman,none,9365
panel,pro,0.22153294100700965,Panel,Panel,20,100,spearman,none,9365
sample_size,pro,0.040854861796022914,n,Respondent,20,100,spearman,none,9365
scale_type,pro,1.001624606306201e-4,Scale Type,Measure,20,100,spearman,none,9365
time_diff_mean,pro,0.059556918845135226,Retest Interval,Measure,20,100,spearman,none,9365
age_group,pro,0.02923845458881693,Age,Respondent,20,100,pearson,none,9365
domain_name,pro,0.04020436272690024,NA,NA,20,100,pearson,none,9365
gender_group,pro,0.024016250067429218,Gender,Respondent,20,100,pearson,none,9365
panel,pro,0.20537488910229593,Panel,Panel,20,100,pearson,none,9365
sample_size,pro,0.036878983918223716,n,Respondent,20,100,pearson,none,9365
scale_type,pro,3.79032797302219e-4,Scale Type,Measure,20,100,pearson,none,9365
time_diff_mean,pro,0.06250813778894129,Retest Interval,Measure,20,100,pearson,none,9365
age_group,pro,0.01936150477852082,Age,Respondent,20,100,icc2_1,none,9365
domain_name,pro,0.025028421283824456,NA,NA,20,100,icc2_1,none,9365
gender_group,pro,0.035047427708623784,Gender,Respondent,20,100,icc2_1,none,9365
panel,pro,0.1886525522740117,Panel,Panel,20,100,icc2_1,none,9365
sample_size,pro,0.04614297660632903,n,Respondent,20,100,icc2_1,none,9365
scale_type,pro,3.809120801822909e-4,Scale Type,Measure,20,100,icc2_1,none,9365
time_diff_mean,pro,0.059009726306964105,Retest Interval,Measure,20,100,icc2_1,none,9365
age_group,pro,0.02663825768953438,Age,Respondent,20,100,spearman,log,9365
domain_name,pro,0.03404482764902758,NA,NA,20,100,spearman,log,9365
gender_group,pro,0.024753474157921337,Gender,Respondent,20,100,spearman,log,9365
panel,pro,0.22153294100700965,Panel,Panel,20,100,spearman,log,9365
sample_size,pro,0.040854861796022914,n,Respondent,20,100,spearman,log,9365
scale_type,pro,1.001624606306201e-4,Scale Type,Measure,20,100,spearman,log,9365
time_diff_mean,pro,0.059556918845135226,Retest Interval,Measure,20,100,spearman,log,9365
