row_id,r2_increment,r2_with,r2_without,r2adj_increment,r2adj_with,r2adj_without,x,n_reg_with,supple
1,0.08123802389948992,0.23865610617163158,0.15741808227214166,0.08035327649454793,0.2370701713013479,0.15671689480679996,panel,8,age_group;domain_name;gender_group;item_num;sample_size;scale_type;time_diff_mean
2,0.0859435225558631,0.22417153041899163,0.13822800786312853,0.08502009195243743,0.22278208334727223,0.1377619913948348,panel,7,domain_name;gender_group;item_num;sample_size;scale_type;time_diff_mean
3,0.07963650777074077,0.21266796611523336,0.1330314583444926,0.07871468521020297,0.21106076441300237,0.1323460792027994,panel,7,age_group;domain_name;item_num;sample_size;scale_type;time_diff_mean
4,0.08505758136024588,0.1975789697361076,0.11252138837586173,0.0840969704149328,0.19617537624682846,0.11207840583189566,panel,6,domain_name;item_num;sample_size;scale_type;time_diff_mean
5,0.09325458254143676,0.22394306778260895,0.1306884852411722,0.09235762837382411,0.22235888224358835,0.13000125386976424,panel,7,age_group;domain_name;gender_group;item_num;scale_type;time_diff_mean
6,0.09010680840055423,0.19197472219523673,0.1018679137946825,0.08914171216802558,0.19056132576577522,0.10141961359774965,panel,6,domain_name;gender_group;item_num;scale_type;time_diff_mean
7,0.0900483349743899,0.1978114582820192,0.10776312330762931,0.08911249526108711,0.19620741537418906,0.10709492011310195,panel,6,age_group;domain_name;item_num;scale_type;time_diff_mean
8,0.08786049180514093,0.16601968660713826,0.07815919480199733,0.08685825970619221,0.16459568224060872,0.07773742253441651,panel,5,domain_name;item_num;scale_type;time_diff_mean
9,0.10774553576457116,0.23410696889462027,0.1263614331300491,0.10684191131187526,0.2327672701187914,0.12592535880691613,panel,7,age_group;gender_group;item_num;sample_size;scale_type;time_diff_mean
10,0.12487115959510486,0.21968627291198767,0.0948151133168828,0.12392225868212381,0.21854916822183534,0.09462690953971153,panel,6,gender_group;item_num;sample_size;scale_type;time_diff_mean
11,0.10548682504458429,0.20812554055938146,0.10263871551479717,0.10454528765201576,0.20677343107924384,0.10222814342722808,panel,6,age_group;item_num;sample_size;scale_type;time_diff_mean
12,0.12374447729916464,0.19308449485997153,0.06934001756080689,0.12275704522190134,0.19194226882330212,0.06918522360140078,panel,5,item_num;sample_size;scale_type;time_diff_mean
13,0.11114250414157552,0.21908415005863868,0.10794164591706316,0.1102172520872946,0.2177507521805946,0.10753350009329998,panel,6,age_group;gender_group;item_num;scale_type;time_diff_mean
14,0.11158754553051015,0.1871599417897725,0.07557239625926235,0.11059069036232794,0.18600932927554836,0.07541863891322043,panel,5,gender_group;item_num;scale_type;time_diff_mean
15,0.10719735213433901,0.19295859343258445,0.08576124129824544,0.10623326284013834,0.1916142526062531,0.08538098976611475,panel,5,age_group;item_num;scale_type;time_diff_mean
16,0.10921573345321045,0.16119732182708862,0.051981588373878174,0.10818159603344046,0.16004492847239637,0.05186333243895591,panel,4,item_num;scale_type;time_diff_mean
17,0.08218569678587276,0.23851346352947095,0.1563277667435982,0.08129821650238578,0.23695902092461119,0.1556608044222254,panel,7,age_group;domain_name;gender_group;item_num;sample_size;time_diff_mean
18,0.0873444835320289,0.22403010582748956,0.13668562229546066,0.08641807935670287,0.22267278062007445,0.13625470126337158,panel,6,domain_name;gender_group;item_num;sample_size;time_diff_mean
19,0.08055106988137758,0.21252542169914546,0.13197435181776787,0.07962651998645465,0.2109508005886085,0.13132428060215384,panel,6,age_group;domain_name;item_num;sample_size;time_diff_mean
20,0.08642143148787267,0.19743698447653912,0.11101555298866646,0.08545781092725024,0.19606662450500567,0.11060881357775543,panel,5,domain_name;item_num;sample_size;time_diff_mean
21,0.09392712037739323,0.22378471050155527,0.12985759012416204,0.09302666962911532,0.2222326032782299,0.1292059336491146,panel,6,age_group;domain_name;gender_group;item_num;time_diff_mean
22,0.09123349755591154,0.1918117982980155,0.10057830074210397,0.09026504748837105,0.19043183343587233,0.10016678594750128,panel,5,domain_name;gender_group;item_num;time_diff_mean
23,0.09069930642473072,0.19765312628416873,0.10695381985943801,0.08976006345170862,0.1960822563739527,0.1063221929222441,panel,5,age_group;domain_name;item_num;time_diff_mean
24,0.08896122397329691,0.16585638863171404,0.07689516465841713,0.08795567638344859,0.16446690191807012,0.07651122553462153,panel,4,domain_name;item_num;time_diff_mean
25,0.10854217435663693,0.23406677982538338,0.12552460546874644,0.10763446005884059,0.23275896448192346,0.12512450442308287,panel,6,age_group;gender_group;item_num;sample_size;time_diff_mean
26,0.12568221544023672,0.21964227438290762,0.0939600589426709,0.12472828214259135,0.21853764210550297,0.09380935996291162,panel,5,gender_group;item_num;sample_size;time_diff_mean
27,0.10626585456128107,0.2080854261658147,0.10181957160453364,0.1053202840017825,0.20676628307859668,0.10144599907681418,panel,5,age_group;item_num;sample_size;time_diff_mean
28,0.12453393315922004,0.1930400533628911,0.06850612020367106,0.12354148176706692,0.19193140730797753,0.06838992554091061,panel,4,item_num;sample_size;time_diff_mean
29,0.11192420789254634,0.21904279471808766,0.10711858682554132,0.11099468575303295,0.21774190402507654,0.10674721827204359,panel,5,age_group;gender_group;item_num;time_diff_mean
30,0.11238071497635176,0.18711324339151233,0.07473252841516058,0.11137934432303298,0.18599645475837,0.07461711043533703,panel,4,gender_group;item_num;time_diff_mean
31,0.10796272458484175,0.19291730843039628,0.08495458384555453,0.10699449390072069,0.1916065636577131,0.08461206975699243,panel,4,age_group;item_num;time_diff_mean
32,0.10998901379105486,0.1611501996237595,0.05116118583270466,0.10895042742701,0.1600327110257811,0.051082283598771094,panel,3,item_num;time_diff_mean
33,0.08382279023811681,0.1875235344257812,0.1037007441876644,0.08287282698424447,0.1858650047301832,0.10299217774593872,panel,7,age_group;domain_name;gender_group;item_num;sample_size;scale_type
34,0.0917081725604773,0.17671748900520123,0.08500931644472394,0.09072480332501343,0.17527740464962327,0.08455260132460984,panel,6,domain_name;gender_group;item_num;sample_size;scale_type
35,0.08259587337066787,0.1670285174693211,0.08443264409865323,0.08161595297814761,0.16536292150341936,0.08374696852527175,panel,6,age_group;domain_name;item_num;sample_size;scale_type
36,0.09071942769895974,0.1550275039707239,0.06430807627176416,0.089704764011454,0.15358473067665424,0.06387996666520024,panel,5,domain_name;item_num;sample_size;scale_type
37,0.08730022770075403,0.15291994861445624,0.0656197209137022,0.0863061851935879,0.15122614138819068,0.06491995619460278,panel,6,age_group;domain_name;gender_group;item_num;scale_type
38,0.08912810464559448,0.12788594045175503,0.03875783580616054,0.08807878736150243,0.12639682349184012,0.038318036130337685,panel,5,domain_name;gender_group;item_num;scale_type
39,0.08495376800010723,0.1333757374442679,0.04842196944416067,0.08393007789897844,0.1316790224421801,0.047748944543201666,panel,5,age_group;domain_name;item_num;scale_type
40,0.08723519927482648,0.10774806657437475,0.020512867299548265,0.0861563075202777,0.10626178508780393,0.02010547756752623,panel,4,domain_name;item_num;scale_type
41,0.10107562278708523,0.18313804428553793,0.08206242149845269,0.10010083408088866,0.18174326916541916,0.081642435084530507,panel,6,age_group;gender_group;item_num;sample_size;scale_type
