section,dv,num,Description,Input,Scripts,Output
pre_proc,all,1,"For each [PANEL], a .xlsx workbook with the information about each risk measure and other relevant variables (e.g., age or year of birth) is compiled by adapting the information from the risk measure codebook and the panel’s codebooks/questionnaires. Separate tabs include information on the different classes of variables (e.g., measures, demographics, id). The merge_var_info.R script reads each sheet/tab from each .xlsx workbook, saves each one as a dataframe and merges the information from all the panels/sample into a list object (panel_var_info.rds). This file contains the information needed for the pre-processing of the raw data.",var_info/codebook_main.xlsx; var_info/indv_panel_var_info/PANEL_var_info.xlsx,var_info/code/merge_var_info.R,var_info/panel_variable_info.rds
pre_proc,all,2,"For each [PANEL], an R script reads the panel_var_info.rds file and Raw Panel Data file(s) to select the relevant variables, and creates a .csv file (long format) with the relevant (and if needed, cleaned and re-coded) raw data, as well as a .csv file with the main information on the different risk preference measures that will be included in the analyses (e.g., measure category, domain). Simultaneously, a summary overview of the data is created for inspection. These pre-processed files are in the same format for all panels.",var_info/panel_variable_info.rds; local_drive/Raw panel data,pre_processing/code/PANEL_preproc.R,local_drive/PANEL_proc_data.csv;var_info/indv_panel_var_info/PANEL_risk_var_info.csv 
pre_proc,all,3,"The information on the final risk preference measures that will be included in the analyses (i.e., [PANEL]_risk_var_info.csv) for each sample are merged into a single R list object (panel_risk_info.rds) using the merge_risk_info.R script. This file is used for data processing.",var_info/indv_panel_var_info/PANEL_risk_var_info.csv ,var_info/code/merge_risk_info.R,var_info/panel_risk_info.rds
proc,retest,1,"For each [PANEL], an R script reads the [PANEL]_proc_data.csv and computes the test-retest correlations for different retest intervals for each measure using the function calc_retest.R. In addition, the relevant information for each risk preference measure is joined to the set of correlations. Altogether, this is saved as a .csv file. The [PANEL]_retest_data.csv file is in the same format for all panels.",local_drive/PANEL_proc_data.csv; var_info/panel_risk_info.rds,processing/code/temp_stability/calc_retest_function.R;processing/code/temp_stability/PANEL_retestcalc.R,processing/output/temp_stability/PANEL_retest_data.csv
proc,retest,2,"Using merge_retest.R and the [PANEL]_retest.csv files, a complete_retest.csv file is created with the retest correlations of all the panels/samples.",processing/output/temp_stability/PANEL_retest.csv ,processing/code/temp_stability/merge_retest.R,processing/output/temp_stability/complete_retest.csv 
proc,retest,3,"Using calc_agg_retest.R and the complete_retest.csv file, aggregated correlation coefficients are computed based on different criteria (e.g., minimum number of responses, age bins) and saves complete_agg_retest_yb[5/10/20].csv files (split by size of age bins).",processing/output/temp_stability/complete_retest.csv ,processing/code/temp_stability/calc_agg_retest.R ,processing/output/temp_stability/complete_agg_retest_ yb[5/10/20].csv 
proc,bivar,1,"For each panel, the R script [PANEL]_intercor.R reads the [PANEL]_proc_data.csv and computes the inter-correlations between different measures collected at the same data collection point using the function calc_intercor.R. In addition, the relevant information for each pair of risk preference measures is joined to the set of  inter-correlations (from panel_risk_info.rds). Altogether, this is saved as a .csv file. The [PANEL]_intercor_data.csv file has the same format for all panels.",var_info/panel_risk_info.rds; local_drive/Raw panel data,processing/code/convergent_val/ calc_intercor_function.R;processing/code/convergent_val/PANEL_intercor.R,processing/output/convergent_val/PANEL_intercor_data.csv
proc,bivar,2,"Using the merge_intercor.R script and the [PANEL]_intercor_data.csv files, a complete_intercor.csv file is created with the inter-correlations of all the panels/samples.",processing/output/convergent_val/PANEL_intercor_data.csv,processing/code/convergent_val/merge_intercor.R,processing/output/convergent_val/complete_intercor.csv 
proc,bivar,3,"Using calc_agg_intercor.R and the complete_intercor.csv file, aggregated correlation coefficients are computed based on different criteria (e.g., minimum number of responses) and saves complete_agg_intercor_yb[5/10/20].csv files (split by size of age bins).",processing/output/convergent_val/complete_intercor.csv ,processing/code/convergent_val/calc_agg_intercor.R ,processing/output/convergent_val/complete_agg_intercor_yb[5/10/20].csv 
analysis,retest,1,"***Variance Decomposition:*** The var_decomposition.R script reads the complete_retest.csv and conducts variance decomposition using all the test-retest correlations (i.e., omnibus analysis) and separately for each measure category, , and saves summary output for plotting.",processing/output/temp_stability/complete_retest.csv ,analysis/code/temp_stability/var_decomposition.R,analysis/output/temp_stability/shapley_values_[omni/pro/fre/beh]_retest.csv;analysis/output/temp_stability/shapley_values_[omni/pro/fre/beh]_retest_boot.csv;analysis/output/temp_stability/summary_shapley_values_retest[_boot].csv
analysis,retest,2,"***Fitting the MASC model:*** Using the corresponding R script (i.e., masc_[pro/fre/beh].R) for each measure category and the complete_agg_retest_yb10.csv file, the (meta-analytic) non-linear mixed-effects model (i.e.,MASC) is estimated. In addition, checks of model fit and convergence diagnostics are performed.",processing/output/temp_stability/complete_agg_retest_yb10.csv,analysis/code/temp_stability/fit_masc_[pro/fre/beh].R,analysis/output/temp_stability/masc_[pro/fre/beh].rds
