panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ALP,ALP,MS352,2015,MS472,2017,2.759376476145489,2.7643835616438355,2.673972602739726,2.808219178082192,0.029986002913974793,20,10-29,25.137931034482758,25,19,29,2.8874622809043444,male,0,29,0.5084745762711864,RISK_GEN_ORD101A,0.6251484626825136,0.5453981810097948,0.6269798142451904,0.5562538844338658,0.5453981810097948,0.46400822734934666,0.35948964152621055,0.38335852834849693,-0.40397902431206856,-0.7023938433513996,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7442219880576046,2.758904109589041,2.5726027397260274,2.789041095890411,0.04445527766946661,20,10-29,25.692307692307693,26,21,29,2.385855756810896,female,1,39,0.5357142857142857,RISK_GEN_ORD101A,0.5476959937790652,0.5832398847721312,0.553582580808506,0.5102182910189006,0.5832398847721312,0.5117271923646867,0.4544177167897126,0.433886903980843,-0.22155717793108323,0.027316108451793043,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.750684931506849,2.7616438356164386,2.5726027397260274,2.808219178082192,0.039416372241138864,20,10-29,25.455882352941178,26,19,29,2.605584264438001,all,0.5735294117647058,68,0.5244755244755245,RISK_GEN_ORD101A,0.5914447308834246,0.6069504077553599,0.5937578924730021,0.4956308163938501,0.6069504077553599,0.48875306739375124,0.41657265318945197,0.4123648598056529,-0.3059839516795297,-0.27296357040226965,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7467999101729172,2.7616438356164386,2.3808219178082193,2.802739726027397,0.05182469257739183,20,30-49,40.42622950819672,41,30,49,5.7032947311063875,male,0,122,0.44545454545454544,RISK_GEN_ORD101A,0.5089227779026632,0.5224071538337735,0.506028476326902,0.3739133508647235,0.5224071538337735,0.3610073561546338,0.3549752986717153,0.37598058766568104,-0.3519613715907441,-0.43817304696009896,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7472001922614755,2.7616438356164386,2.5123287671232877,2.808219178082192,0.04589093438459443,20,30-49,39.39035087719298,40,30,49,5.828026910859254,female,1,228,0.45060240963855425,RISK_GEN_ORD101A,0.5301153927721967,0.5204623472212093,0.5311635582337451,0.45257167384559327,0.5204623472212093,0.4531989738176101,0.41781956718168656,0.4118865832367133,-0.1600072982314763,-0.05272288917735946,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.747060665362035,2.7616438356164386,2.3808219178082193,2.808219178082192,0.04796881024033114,20,30-49,39.751428571428576,40,30,49,5.797780003386012,all,0.6514285714285715,350,0.44881889763779526,RISK_GEN_ORD101A,0.5301861337532829,0.5276134018332521,0.5303312074402341,0.432265536558352,0.5276134018332521,0.4324799962952333,0.3991954273465323,0.40027397084143984,-0.22263324063348774,-0.1835594117822557,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.755308219178082,2.7616438356164386,2.6301369863013697,2.8054794520547945,0.027974508434113053,20,50-69,55.88194444444444,56,50,62,3.218166371413199,male,0,144,0.37117903930131,RISK_GEN_ORD101A,0.48574517673002987,0.481129984325801,0.48615018086220696,0.4934260234759398,0.481129984325801,0.49348295675257436,0.4127157075449719,0.4112005724794965,-0.3757648030861896,-0.32168887923770717,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7552622786501835,2.7616438356164386,2.5095890410958903,2.8109589041095893,0.0391742812165241,20,50-69,56.27235772357724,56.5,50,69,3.5472047244592195,female,1,246,0.35433070866141736,RISK_GEN_ORD101A,0.5042572899046804,0.4794416002655323,0.503888011119635,0.4369140779033342,0.4794416002655323,0.43129961794091864,0.40421931768865027,0.4244258509214677,-0.10377512378753707,-0.13976826437801826,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7552792413066385,2.7616438356164386,2.5095890410958903,2.8109589041095893,0.03541495130466015,20,50-69,56.12820512820513,56,50,69,3.430391069310539,all,0.6307692307692307,390,0.360655737704918,RISK_GEN_ORD101A,0.4985489298035507,0.49213618625087485,0.4989356340362585,0.4576648293838419,0.49213618625087485,0.45438737161447024,0.4075507010960781,0.4216805470363173,-0.206816974114993,-0.18888103106615736,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
ALP,ALP,MS352,2015,MS472,2017,2.7521894590201996,2.7616438356164386,2.3808219178082193,2.808219178082192,0.039919495636510254,20,10-90,46.467796610169486,49,19,62,11.074798882987803,male,0,295,0.4192913385826772,RISK_GEN_ORD101A,0.5098916480904864,0.5055892024326007,0.5104111767887428,0.45369786656928024,0.5055892024326007,0.44633073557352015,0.3854241113372996,0.39293992246068016,-0.3693958964208509,-0.4080977507212302,pro,gen,gen,ord,101,NA,NA,NA,1,N.America,U.S.A.,Multiple,Online,Lifespan
