panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6234007791881362,1.621917808219178,1.5342465753424657,1.7315068493150685,0.05347930976353084,20,10-29,23.045871559633028,23,19,29,2.412871813992144,male,0,109,0.7435294117647059,RISK_GEN_ORD10A,0.708885736569373,0.7049827705456987,0.7066431616628593,0.7118180950229981,0.7049827705456987,0.7065650893411217,0.39597083282150086,0.36169496868155354,-0.1366874698644909,-0.18525445310746513,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6288598207848386,1.63013698630137,1.5205479452054795,1.7315068493150685,0.053076586291617,20,10-29,22.360902255639097,22,18,28,2.1684317258019847,female,1,133,0.8252299605781865,RISK_GEN_ORD10A,0.652258372536019,0.658601739441388,0.6342864961007001,0.6486342141232437,0.658601739441388,0.6325628199262422,0.38669571695308863,0.4032087925596361,0.09400015397445499,0.09148372565849569,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.62640099626401,1.6246575342465754,1.5205479452054795,1.7315068493150685,0.053217223184018544,20,10-29,22.669421487603305,22.5,18,29,2.3024015236200466,all,0.5495867768595041,242,0.7959527824620574,RISK_GEN_ORD10A,0.675135593921449,0.6770049797072019,0.6733797614186776,0.6698065369548974,0.6770049797072019,0.6687565957296111,0.3913248972024429,0.3929971161184772,-0.007696195461059053,0.00703872848761067,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.614246575342466,1.584931506849315,1.5342465753424657,1.726027397260274,0.06567473729068282,20,30-49,33.3,32.5,30,40,3.6530048514126623,male,0,10,0.7435897435897436,RISK_GEN_ORD10A,0.3343258381116918,0.2685185185185185,0.3472527472527474,0.4495022754809315,0.2685185185185185,0.46974571883091587,0.4994327848429293,0.544202416101988,0.25582780752052636,0.16663857161529028,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6232876712328768,1.6232876712328768,1.5342465753424657,1.726027397260274,0.0567857376790427,20,30-49,33.8125,32,30,43,4.261748467472007,all,0.375,16,0.8241758241758241,RISK_GEN_ORD10A,0.5014518736837051,0.45353139386177926,0.515748031496063,0.5829340769528625,0.45353139386177926,0.5970585208223277,0.480985288271278,0.4415083631259503,-0.07477734099421175,-0.2654798918451484,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6231735159817353,1.621917808219178,1.5342465753424657,1.7315068493150685,0.05443869250790502,20,10-90,24.191666666666666,23,19,58,4.906342719332988,male,0,120,0.7430406852248395,RISK_GEN_ORD10A,0.685672277714904,0.6793787890583629,0.6836249620714109,0.6904418107970584,0.6793787890583629,0.686714714284731,0.40571175687868577,0.37544630697701115,-0.10946105341484529,-0.19910931257971667,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6292697348970138,1.6356164383561644,1.5205479452054795,1.7315068493150685,0.05245764928820237,20,10-90,22.89208633093525,22,18,43,3.442468459396867,female,1,139,0.8290282902829028,RISK_GEN_ORD10A,0.6580031542666758,0.6638769094482959,0.6387614251072559,0.6559268619281,0.6638769094482959,0.6403907855841241,0.3868450030189206,0.3979588059815647,0.046935470956054555,0.04773875745448271,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.626445231924684,1.6246575342465754,1.5205479452054795,1.7315068493150685,0.05336750873627956,20,10-90,23.494208494208493,23,18,58,4.226504279126893,all,0.5366795366795367,259,0.79765625,RISK_GEN_ORD10A,0.6638659073023139,0.6626860281978755,0.66233503413773,0.6634032329153782,0.6626860281978755,0.6627082770108431,0.3953499476398208,0.3944697595612752,-0.027469626009993534,-0.020994890130441254,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.619634703196347,1.621917808219178,1.5342465753424657,1.7287671232876711,0.053003275383155926,20,10-29,23.1,23,19,29,2.4266775733384565,male,0,90,0.7087378640776699,LOTTERY_ALLOCB,0.19192981446138876,0.14492460069308058,0.16514789817319264,0.11336924561840622,0.14492460069308058,0.08759526309020499,0.6520182918758836,0.43542819479667527,0.22669256698979648,-0.25505455860780907,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.624831880448319,1.6273972602739726,1.5205479452054795,1.7315068493150685,0.051296242865307706,20,10-29,22.327272727272728,22,18,28,2.213839252715531,female,1,110,0.7764227642276422,LOTTERY_ALLOCB,0.3698526757326869,0.35040847102523875,0.3660129591585462,0.3531723548853983,0.35040847102523875,0.3395856536578647,0.7744456715844988,0.6517765110056016,0.4836990789468635,0.4705499596107996,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6224931506849316,1.6246575342465754,1.5205479452054795,1.7315068493150685,0.052004112813858895,20,10-29,22.675,23,18,29,2.338099344064227,all,0.55,200,0.7503121098626717,LOTTERY_ALLOCB,0.3468969954849448,0.3131155642153283,0.3284679379595427,0.2985921437688006,0.3131155642153283,0.2731236366303774,0.7306072343060743,0.5886025620530554,0.429774775311561,0.20766918807721124,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6077210460772107,1.5863013698630137,1.5342465753424657,1.7013698630136986,0.04843690231838801,20,30-49,33.27272727272727,31,30,43,4.173509532537552,all,0.45454545454545453,11,0.7708333333333334,LOTTERY_ALLOCB,0.24351822366540582,0.17102571992659638,0.2065009560229448,0.02580239075067076,0.17102571992659638,0.02096161214676023,1.1125651957653273,0.5021642330730853,0.9034349933662345,-0.18072435674806409,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6177658522807514,1.621917808219178,1.5342465753424657,1.7287671232876711,0.05302377607966385,20,10-90,24.072164948453608,23,19,58,4.895251573975397,male,0,97,0.7069486404833837,LOTTERY_ALLOCB,0.20768591779526085,0.1609982154277633,0.17885198113774853,0.11542997993722749,0.1609982154277633,0.09126326400803385,0.6817347441217034,0.4454896554254992,0.25430741205886903,-0.26045580183563893,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
ANPS,ANPS_Czech_Republic,W1,2019,W2,2020,1.6256343061346041,1.63013698630137,1.5205479452054795,1.7315068493150685,0.050876753747726704,20,10-90,22.817391304347826,22,18,43,3.3155206748771393,female,1,115,0.7784200385356455,LOTTERY_ALLOCB,0.3875184679202926,0.36327528566088774,0.38183540790741466,0.34839827333307866,0.36327528566088774,0.3320382876988103,0.780795009288015,0.6396612623512682,0.5012545992630644,0.42304015169898007,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Czech Republic,English,Online,Adults
