panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4807274444969296,1.63013698630137,1.0136986301369864,1.7424657534246575,0.2838188466582286,20,10-29,20.844827586206897,20,18,26,2.0244273536244375,male,0,58,0.7906137184115524,RISK_GEN_ORD10A,0.7191454980318939,0.7122034064026539,0.7136308628845943,0.7061094927444351,0.7122034064026539,0.6991284633993833,0.29373992463831095,0.33610902336632686,-0.49741311023968204,-0.17892292501205453,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.430586792067062,1.6273972602739726,1.010958904109589,1.7424657534246575,0.30340350638178343,20,10-29,20.58955223880597,20,18,26,1.722093002506155,female,1,134,0.7796052631578947,RISK_GEN_ORD10A,0.5575006490924628,0.5518200671833332,0.5430820064333066,0.5348798085776684,0.5518200671833332,0.5191243909825305,0.294216303608805,0.34599284118218027,-0.4952822165285629,-0.09599886086604124,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4457334474885846,1.6273972602739726,1.010958904109589,1.7424657534246575,0.29777919169993194,20,10-29,20.666666666666668,20,18,26,1.8171185213870589,all,0.6979166666666666,192,0.7830508474576271,RISK_GEN_ORD10A,0.6114170580151422,0.6085181413272959,0.5984731135206894,0.586809610866904,0.6085181413272959,0.5722213715151163,0.29401154709483346,0.34381405698565637,-0.4854942903190888,-0.10860979492408301,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4807274444969296,1.63013698630137,1.0136986301369864,1.7424657534246575,0.2838188466582286,20,10-90,20.844827586206897,20,18,26,2.0244273536244375,male,0,58,0.7913669064748201,RISK_GEN_ORD10A,0.7191454980318939,0.7122034064026539,0.7136308628845943,0.7061094927444351,0.7122034064026539,0.6991284633993833,0.29373992463831095,0.33610902336632686,-0.49741311023968204,-0.17892292501205453,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4276002029426689,1.6273972602739726,1.010958904109589,1.7424657534246575,0.3042546324001334,20,10-90,20.68148148148148,20,18,33,2.0209789701500682,female,1,135,0.7811993517017828,RISK_GEN_ORD10A,0.5581467938654281,0.5524000175605177,0.5437893945527138,0.5357774238009826,0.5524000175605177,0.5200722298493471,0.29303223776924237,0.3446123132515052,-0.50445732728927,-0.10732405266108594,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.44356590247711,1.6273972602739726,1.010958904109589,1.7424657534246575,0.2985253320300868,20,10-90,20.730569948186528,20,18,33,2.0181334679105136,all,0.6994818652849741,193,0.7843575418994413,RISK_GEN_ORD10A,0.611708613298712,0.6086010197638189,0.5988012427483449,0.5872674571022363,0.6086010197638189,0.5727132799453396,0.2931808660774137,0.34283280773024283,-0.4913482289358584,-0.11572913022060177,pro,gen,gen,ord,10,NA,NA,NA,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5078234398782346,1.63013698630137,1.0136986301369864,1.7424657534246575,0.27165027920001406,20,10-29,21.044444444444444,21,18,26,2.066568912644113,male,0,45,0.7486033519553073,LOTTERY_ALLOCB,0.35940345286300607,0.3785736430524592,0.34368022350989036,0.4164345730960344,0.3785736430524592,0.33477543561059253,0.6150476718288838,0.508819578893172,0.14072647719718262,0.1985779661126929,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.4416335936499807,1.6273972602739726,1.010958904109589,1.7424657534246575,0.2999424451854448,20,10-29,20.560747663551403,20,18,26,1.6320930542136414,female,1,107,0.6968838526912181,LOTTERY_ALLOCB,0.39551697928099305,0.40538022750267527,0.383646628654105,0.3179070325074487,0.40538022750267527,0.3182774554645175,0.672308064202993,0.707981281922877,0.28808980642826365,0.4560774553103862,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.461229271809661,1.6273972602739726,1.010958904109589,1.7424657534246575,0.29253463106409294,20,10-29,20.70394736842105,20,18,26,1.7786028291053735,all,0.7039473684210527,152,0.7142857142857143,LOTTERY_ALLOCB,0.3967888844212605,0.41583458110539645,0.3836685387999449,0.3357940723241199,0.41583458110539645,0.33008820286384677,0.6566987152268718,0.6472701677422255,0.2616849876652017,0.3382306798272635,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
ANPS,ANPS_Spain,W1,2019,W2,2020,1.5078234398782346,1.63013698630137,1.0136986301369864,1.7424657534246575,0.27165027920001406,20,10-90,21.044444444444444,21,18,26,2.066568912644113,male,0,45,0.75,LOTTERY_ALLOCB,0.35940345286300607,0.3785736430524592,0.34368022350989036,0.4164345730960344,0.3785736430524592,0.33477543561059253,0.6150476718288838,0.508819578893172,0.14072647719718262,0.1985779661126929,beh,don,inv,dis,101,NA,alloc,inc,1,Europe,Spain,English,Online,Adults
