panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,24.5,24.5,20,29,2.8284271247461903,male,0,24,0.9529411764705882,AUDIT,0.8069302230377939,0.7591295657267254,0.8113649677797306,0.8675696917188341,0.7591295657267254,0.8525441565475499,0.491523123857991,0.5289286091982599,0.5204690416241752,0.427196264646592,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,23.470588235294116,23,20,29,2.513422080070251,female,1,34,0.9599056603773585,AUDIT,0.9701754980479059,0.9510032196001037,0.9682168912112112,0.9605513756887808,0.9510032196001037,0.9597600349798519,0.9763019282796072,0.9881479240582197,1.5987078099906855,1.5170178885150356,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,23.896551724137932,24,20,29,2.673388382679572,all,0.5862068965517241,58,0.9572901325478645,AUDIT,0.939661493979851,0.9066752694293733,0.9395372142236526,0.9414047644790002,0.9066752694293733,0.9416938246364022,0.7976567399563433,0.8053119829363994,1.6181455641596587,1.3967515937965285,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-90,25.51851851851852,25,20,35,4.0131550064024575,male,0,27,0.9528795811518325,AUDIT,0.8493944968645748,0.8258591560541406,0.8491561181434595,0.9142380719191304,0.8258591560541406,0.9084473929682144,0.5421085971625724,0.5931166663443946,0.3369578822328202,0.4244958797810141,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-90,23.742857142857144,23,20,33,2.953988899804478,female,1,35,0.962486602357985,AUDIT,0.970592166210895,0.9536916943256645,0.9686446606881659,0.9609061963563602,0.9536916943256645,0.9600887539784501,0.988820972020106,0.9997295469862642,1.6375463050879595,1.5578710215831015,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-90,24.516129032258064,24,20,35,3.5378141602206954,all,0.5645161290322581,62,0.9588313413014609,AUDIT,0.9407205832990153,0.9202750508935761,0.941131711300411,0.9466626445238587,0.9202750508935761,0.9470597004693936,0.8119700156211045,0.8229046914117948,1.5802438131993064,1.3415625031210074,fre,dom,alc,com,NA,365,NA,NA,10,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,24.5,24.5,20,29,2.8284271247461903,male,0,24,0.9529411764705882,BANK_ALLOC,0.24872435534067724,0.3779346181812895,0.25140291806958476,0.3138871333472845,0.3779346181812895,0.3192042712162598,0.48989794855663554,0.5848353906101538,1.160428043448068,1.143821396030683,beh,dom,inv,ord,6,NA,alloc,hyp,1,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,23.470588235294116,23,20,29,2.513422080070251,female,1,34,0.9599056603773585,BANK_ALLOC,0.4300535260999482,0.5256163588433586,0.4179104477611945,0.5056802402190733,0.5256163588433586,0.4952417187102014,0.4882487799790104,0.4852219501517742,0.5044382601928641,0.7174162892234445,beh,dom,inv,ord,6,NA,alloc,hyp,1,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-29,23.896551724137932,24,20,29,2.673388382679572,all,0.5862068965517241,58,0.9572901325478645,BANK_ALLOC,0.36771416332965967,0.4835213440088049,0.3676998368678635,0.4403704553117977,0.4835213440088049,0.439582302771778,0.5034773759078458,0.5220582862085321,0.7784870823121386,0.8880885371660725,beh,dom,inv,ord,6,NA,alloc,hyp,1,Europe,Switzerland,German,Laboratory,Adults
BBRS,BBRS_CH,W1,2015,W2,2015,0.25205479452054796,0.25205479452054796,0.25205479452054796,0.25205479452054796,0,20,10-90,25.51851851851852,25,20,35,4.0131550064024575,male,0,27,0.9528795811518325,BANK_ALLOC,0.3534310326070541,0.4622649564524346,0.3613312202852627,0.41353725437866007,0.4622649564524346,0.4213613167167054,0.525206003539417,0.5653947955673237,1.0307764064044158,1.0302144423723354,beh,dom,inv,ord,6,NA,alloc,hyp,1,Europe,Switzerland,German,Laboratory,Adults
