panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
COGECON,COGECON,2008,2008,2009,2009,1.1183953033268101,1.2068493150684931,0.8328767123287671,1.3342465753424657,0.21566247554394324,20,30-49,47.42857142857143,47.5,45,49,1.6035674514745462,female,1,14,0.06666666666666665,RISK_FIN_ORD6A,0.5411175650245353,0.532249641109296,0.4935064935064935,0.4910872221677066,0.532249641109296,0.44248441256976745,0.1938519616437463,0.2955510570957704,-0.6659616235894464,0.38479281269960763,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1294520547945206,1.2068493150684931,0.8328767123287671,1.3342465753424657,0.20354892196460234,20,30-49,47.0625,47,44,49,1.8062391868188443,all,0.875,16,0.05882352941176472,RISK_FIN_ORD6A,0.5372427175954361,0.549786777573736,0.48087431693989074,0.4915543914792807,0.549786777573736,0.4350549126974139,0.18028396601635266,0.2772121946346558,-0.8223036670302644,0.339081830429769,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.128695652173913,1.167123287671233,0.663013698630137,1.4191780821917808,0.19070119234836239,20,50-69,59.53478260869565,60,50,69,5.063449701369498,male,0,230,0.13533834586466165,RISK_FIN_ORD6A,0.48184281072465535,0.49674288998165567,0.47784121106139504,0.4499730535998908,0.49674288998165567,0.44579252020896976,0.28033866689458276,0.3100459972244749,-0.630554311298899,-0.4698108389601936,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.135755670334606,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18081478038986748,20,50-69,59.66885245901639,59,50,69,5.103389643155869,female,1,305,0.16208791208791207,RISK_FIN_ORD6A,0.3732440799458392,0.3930690626496589,0.3735063279740076,0.3481889101747787,0.3930690626496589,0.3480658581507316,0.28723724904613823,0.2974313058951387,-0.41479721856336793,-0.5516255163380724,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1327205223402892,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18498677619098733,20,50-69,59.61121495327103,60,50,69,5.081937742412189,all,0.5700934579439252,535,0.1507936507936508,RISK_FIN_ORD6A,0.41963346712758043,0.43581484790898933,0.4192324356971216,0.3917665391424621,0.43581484790898933,0.3907421750611189,0.28474465257847004,0.302613351696921,-0.50205897393789,-0.5152440126056541,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.0799594114662607,1.167123287671233,0.5808219178082191,1.4136986301369863,0.18925378509448884,20,70-90,77.68148148148148,78,70,89,5.388838453543199,male,0,135,0.16149068322981364,RISK_FIN_ORD6A,0.45293251704408344,0.4556368018931949,0.453579704475017,0.43468540561058827,0.4556368018931949,0.43561698345379096,0.33171616764243983,0.33475347525151355,-0.3735122051299885,-0.24302175577152044,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1391695205479453,1.167123287671233,0.663013698630137,1.4191780821917808,0.16804267442579188,20,70-90,77.3828125,77,70,89,5.043310208021187,female,1,128,0.16883116883116878,RISK_FIN_ORD6A,0.3792571540609504,0.37582075572502727,0.37935247403787414,0.3838808308751803,0.37582075572502727,0.38232213291235445,0.35967471294289194,0.398299005679516,-0.027190438269225296,-0.028116162036341777,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.108776498775978,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18134455498041221,20,70-90,77.5361216730038,77,70,89,5.2157303339452765,all,0.4866920152091255,263,0.16507936507936505,RISK_FIN_ORD6A,0.42230020198882534,0.41928744109399224,0.42248131405809186,0.4151593234980544,0.41928744109399224,0.41486646427813423,0.34694539853133605,0.3661416899364879,-0.19885122396772742,-0.15098307842521988,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.111194057705946,1.167123287671233,0.5808219178082191,1.4191780821917808,0.19099338123259751,20,10-90,66.12806539509536,64,44,89,10.285139809058828,male,0,367,0.1445221445221445,RISK_FIN_ORD6A,0.4756168260365477,0.48419737004341,0.47324688026835526,0.44907968578640456,0.48419737004341,0.44703426268245866,0.299625799565229,0.3188603579501706,-0.5499276769692862,-0.38701632411926057,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1361895130397475,1.167123287671233,0.5808219178082191,1.4191780821917808,0.1780279462238022,20,10-90,64.3579418344519,63,45,89,9.888926781228667,female,1,447,0.16135084427767354,RISK_FIN_ORD6A,0.3982123376908432,0.4020059414292871,0.3979042591981742,0.3864110045859146,0.4020059414292871,0.38522255978252934,0.3086259743948607,0.32922814215954194,-0.33748570115892446,-0.396447564206694,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1249200632762277,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18429258843783378,20,10-90,65.15601965601965,63,44,89,10.101769084022822,all,0.5491400491400491,814,0.15384615384615385,RISK_FIN_ORD6A,0.4330503688001616,0.438302753182959,0.4323890939480551,0.4145851647637637,0.438302753182959,0.41337266555571467,0.3051726874632035,0.32439542345328526,-0.42830140263500033,-0.39330555348114,pro,dom,inv,ord,6,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.0823874755381604,1.2068493150684931,0.663013698630137,1.3342465753424657,0.24674496983723168,20,30-49,47.642857142857146,48.5,45,49,1.5984195491000026,female,1,14,0.125,RISK_GEN_ORD11A,0.6723929420498986,0.6951121258303344,0.6811989100817443,0.5423998516906199,0.6951121258303344,0.541143430939409,0.3663911691254661,0.3594868137091668,0.474543315224955,-0.48488401513972484,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.097945205479452,1.2068493150684931,0.663013698630137,1.3342465753424657,0.23405770911592982,20,30-49,47.25,47.5,44,49,1.8439088914585775,all,0.875,16,0.11111111111111116,RISK_GEN_ORD11A,0.5973191135873606,0.5575910861408991,0.6119235095613048,0.4864875472737529,0.5575910861408991,0.48622836036871775,0.34497574474564136,0.36363636363636365,0.39312798340964583,-0.2065591117977289,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1245092806736643,1.167123287671233,0.5808219178082191,1.4191780821917808,0.1944494894574586,20,50-69,59.45887445887446,60,50,69,5.011881234652096,male,0,231,0.1412639405204461,RISK_GEN_ORD11A,0.6118490219144461,0.6117766218438937,0.6108983128135018,0.5631818902308642,0.6117766218438937,0.5621838802339916,0.3662084811812608,0.35049049060840326,-0.39297761060913783,-0.42552998501424005,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.138755894902313,1.167123287671233,0.5808219178082191,1.4191780821917808,0.17764947687270458,20,50-69,59.68852459016394,59,50,69,5.085263098064001,female,1,305,0.16666666666666663,RISK_GEN_ORD11A,0.525773852395608,0.5651242861306067,0.5265048368810842,0.42739330412031495,0.5651242861306067,0.42756259818507936,0.43919806105158654,0.44018724939104525,-0.21197769002366143,-0.14665111069675457,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1326160294418317,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18503425444379235,20,50-69,59.58955223880597,60,50,69,5.050344948436753,all,0.5690298507462687,536,0.15590551181102363,RISK_GEN_ORD11A,0.5646616358416772,0.5934783004498497,0.5646249193388734,0.48202810970694143,0.5934783004498497,0.4814785886217338,0.4090938270946159,0.4026674346586588,-0.3017436299323507,-0.28116043924575135,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.0780923389142567,1.167123287671233,0.5808219178082191,1.4136986301369863,0.19044394104105436,20,70-90,77.54814814814814,77,70,89,5.441299392825757,male,0,135,0.17682926829268297,RISK_GEN_ORD11A,0.5888052013820697,0.5720534040035161,0.5829759773512604,0.5470223928123984,0.5720534040035161,0.5292049964127088,0.4686169942052093,0.4364179316310213,-0.4462340417949916,-0.011402194507241151,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.135894691780822,1.167123287671233,0.663013698630137,1.4191780821917808,0.17154167900010542,20,70-90,77.2265625,77,70,89,5.019983442188083,female,1,128,0.1633986928104575,RISK_GEN_ORD11A,0.5323903848600745,0.5230250128548417,0.5292173006296659,0.4650056456410884,0.5230250128548417,0.4616651122797153,0.5540035898963829,0.5102868867088247,-0.12239315889569793,-0.13086799121140993,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1062242825147144,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18344379433556202,20,70-90,77.3916349809886,77,70,89,5.232991932780201,all,0.4866920152091255,263,0.17034700315457418,RISK_GEN_ORD11A,0.5718289723720718,0.5584858064461503,0.5664811329782173,0.5097278801057163,0.5584858064461503,0.5009205224385774,0.5117866766783861,0.4749060402598351,-0.2815786455415635,-0.06816682128972752,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.107928826682549,1.167123287671233,0.5808219178082191,1.4191780821917808,0.1936518501854389,20,10-90,66.01358695652173,64,44,89,10.249866359894051,male,0,368,0.15402298850574714,RISK_GEN_ORD11A,0.6022767810607779,0.5987343417752349,0.6020085534623548,0.5584938596236437,0.5987343417752349,0.5517025470084732,0.4058910194345262,0.3827300857098931,-0.4493639212745484,-0.25376604260201924,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1361711256167448,1.167123287671233,0.5808219178082191,1.4191780821917808,0.17821508493386717,20,10-90,64.33333333333333,63,45,89,9.802229696625721,female,1,447,0.1644859813084112,RISK_GEN_ORD11A,0.5415658789610626,0.5670529368213885,0.5417771775698283,0.45703007168253446,0.5670529368213885,0.4561488277451705,0.47291564653211776,0.4587882042947353,-0.18619519173039703,-0.1594647291575035,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
COGECON,COGECON,2008,2008,2009,2009,1.1234187746869486,1.167123287671233,0.5808219178082191,1.4191780821917808,0.18576194741558877,20,10-90,65.0920245398773,63,44,89,10.035569306302873,all,0.5484662576687117,815,0.15979381443298968,RISK_GEN_ORD11A,0.5727662203607948,0.5895706197774166,0.5725681986070231,0.501208130233454,0.5895706197774166,0.49854083953654293,0.44379830209405247,0.4255542916636644,-0.3063652265774027,-0.2205436809770284,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
