panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
GCOE,GCOE_CN,2009,2009,2010,2009,0.9398782343987823,0.9410958904109589,0.8821917808219178,0.9863013698630136,0.02212980860045748,20,10-29,24.733333333333334,24,20,29,2.718228107599475,male,0,90,0.32330827067669177,RISK_GEN_ORD11B,0.9678018769722098,0.9604008762279186,0.9660907449434322,0.9741821537558787,0.9604008762279186,0.97163917053117,0.3031105576401201,0.28441276739866284,-0.7368255668973476,-0.7515032798833812,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9407454603376871,0.9452054794520548,0.8602739726027397,0.9808219178082191,0.021499006506388144,20,10-29,25.25581395348837,26,20,29,2.774616227884194,female,1,86,0.35820895522388063,RISK_GEN_ORD11B,0.9595381720258761,0.95772653965221,0.9526080018456934,0.9570948368268657,0.95772653965221,0.9224552967502246,0.33605322245799124,0.29481163474333794,-0.6568356777124058,-0.40030644472824295,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9403019925280198,0.9424657534246575,0.8602739726027397,0.9863013698630136,0.021765834758977864,20,10-29,24.988636363636363,25,20,29,2.7505607456634023,all,0.48863636363636365,176,0.34082397003745324,RISK_GEN_ORD11B,0.9645140572190004,0.9607877721619539,0.9605633802816874,0.9625147531324447,0.9607877721619539,0.948691181990052,0.3220275818127336,0.2923037518198578,-0.6658419540529724,-0.5463602420029485,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.937470596374706,0.9410958904109589,0.863013698630137,0.9917808219178083,0.020752350611160875,20,30-49,39.54545454545455,40,30,49,5.352114677230672,male,0,198,0.28,RISK_GEN_ORD11B,0.964081069575308,0.9610342454172477,0.9606330245183133,0.9378697454196997,0.9610342454172477,0.9090539654822756,0.3733694872927643,0.34066079144168154,-0.864954902356075,-0.6835222741179953,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9410958904109589,0.9438356164383561,0.8821917808219178,0.9972602739726028,0.01828646576372365,20,30-49,40.222772277227726,40,30,49,5.59716312629105,female,1,202,0.2681159420289855,RISK_GEN_ORD11B,0.9566926973684368,0.9614129726483892,0.9515238579585059,0.9376260569737085,0.9614129726483892,0.9163176055711943,0.4359346925564167,0.39757023498947686,-0.40026566096366367,-0.2954261691244338,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9393013698630138,0.9424657534246575,0.863013698630137,0.9972602739726028,0.0196056060804609,20,30-49,39.8875,40,30,49,5.4808706980754955,all,0.505,400,0.27404718693284935,RISK_GEN_ORD11B,0.9613530858895716,0.9613106748797818,0.9574258224527483,0.9386744802267596,0.9613106748797818,0.9145074615757025,0.41008126063410905,0.37293546561569707,-0.5913380968159467,-0.4703959211167827,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9373585467540202,0.9410958904109589,0.873972602739726,0.9863013698630136,0.023317465307730566,20,50-69,58.32608695652174,59,50,69,5.542895212491352,male,0,184,0.33574007220216606,RISK_GEN_ORD11B,0.9652787329854626,0.9665172119458293,0.9576195135507488,0.9370353527560911,0.9665172119458293,0.9051369190303995,0.5018448050315407,0.4395201959584688,-0.26818823143401127,-0.20794685477782898,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9398643973986439,0.9397260273972603,0.8684931506849315,0.9863013698630136,0.020776830536975273,20,50-69,57.85858585858586,59,50,69,5.4072898735739,female,1,198,0.29032258064516125,RISK_GEN_ORD11B,0.9697838242829573,0.9747153168555925,0.9644717955812759,0.9419803702781403,0.9747153168555925,0.9169859428457564,0.5196335396387429,0.46154280100401074,-0.2342056023281423,-0.1402810739213536,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9386573908054221,0.9397260273972603,0.8684931506849315,0.9863013698630136,0.02204368368460524,20,50-69,58.083769633507856,59,50,69,5.470829197139344,all,0.518324607329843,382,0.31294964028776984,RISK_GEN_ORD11B,0.9674046818738201,0.9705091069887938,0.961140616531826,0.9394928138205855,0.9705091069887938,0.9113686802239302,0.510449384322073,0.4506389961292134,-0.2507998100343848,-0.17274844103284862,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
GCOE,GCOE_CN,2009,2009,2010,2009,0.9378957062276966,0.9424657534246575,0.863013698630137,0.9917808219178083,0.022048476615921412,20,10-90,44.260504201680675,44,20,70,13.741653733237243,male,0,476,0.3101449275362319,RISK_GEN_ORD11B,0.9687552219670342,0.9655463502288102,0.9642236326151055,0.9455450348096052,0.9655463502288102,0.9211846985095319,0.42550561941923926,0.3830805928539364,-0.5746014835899442,-0.4860637350189329,pro,gen,gen,ord,11,NA,NA,NA,1,Asia,China,Chinese,Interview,Lifespan
