panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,10-29,23.97902097902098,24,19,29,3.0314514058974034,male,0,143,0.6196808510638299,RISK_GEN_ORD11B,0.3602091640266466,0.4115871225574627,0.35890364650516804,0.2146656519276219,0.4115871225574627,0.2079800109721425,0.3897193067274449,0.3484710762591791,-0.593632606535154,-0.5070793803416455,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,10-29,24.3125,25,19,29,3.098361303543471,female,1,160,0.6049382716049383,RISK_GEN_ORD11B,0.36429528134610145,0.31806241997674833,0.3655119714722375,0.4154297996958562,0.31806241997674833,0.41682919919777844,0.38865540782776,0.38831942398611374,-0.5732250958747896,-0.5584163187861866,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,10-29,24.155115511551152,24,19,29,3.0664330784090548,all,0.528052805280528,303,0.6120358514724712,RISK_GEN_ORD11B,0.36954648479151636,0.3659006242820589,0.36990310243281416,0.3315187682221222,0.3659006242820589,0.33014023930257497,0.3901252082770657,0.3723608908247274,-0.5617343250984096,-0.5101781369476306,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,30-49,40.2757660167131,41,30,49,5.5782145990179215,male,0,359,0.47743813682678315,RISK_GEN_ORD11B,0.4688292169836365,0.4823574280863201,0.469404921533567,0.3986613929710715,0.4823574280863201,0.3983069015743306,0.3741920056495592,0.3782381773436284,-0.3829008840958021,-0.23559582739424315,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,30-49,39.863425925925924,40,30,49,5.433193104218305,female,1,432,0.5129650507328072,RISK_GEN_ORD11B,0.5530826681236694,0.5438709929895602,0.5536316357599085,0.5284410407484645,0.5438709929895602,0.5289375404675236,0.4274001033680569,0.42365211011684045,-0.33348692924277884,-0.3099387826632351,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,30-49,40.0505689001264,40,30,49,5.499824766367848,all,0.5461441213653603,791,0.49745870393900893,RISK_GEN_ORD11B,0.5209798832268655,0.5209582909054777,0.5212603949394188,0.48429244634760954,0.5209582909054777,0.48426855815624287,0.404035866203132,0.4036412746746478,-0.3646333119980484,-0.28639233045854223,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,50-69,57.580357142857146,56,50,69,5.516821050109734,male,0,336,0.4464579901153213,RISK_GEN_ORD11B,0.4866008440410443,0.4891174766210652,0.4859414304696204,0.4917145948921524,0.4891174766210652,0.49169403902907216,0.4150563107794489,0.400009141178399,-0.31783016293478544,-0.5681736882969535,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,50-69,58.47260273972603,58,50,69,5.634799368178632,female,1,438,0.4016393442622951,RISK_GEN_ORD11B,0.42679477862167997,0.4383439119336871,0.42675252759163074,0.3822882895496777,0.4383439119336871,0.3810519909396932,0.453501349289623,0.46550579641853235,-0.264067353153956,-0.43820795171003446,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,50-69,58.08527131782946,57.5,50,69,5.597815607627941,all,0.5658914728682171,774,0.42195668409260645,RISK_GEN_ORD11B,0.45181640118786787,0.46107311600854084,0.4514291702553879,0.4252909751317231,0.46107311600854084,0.4246934541324443,0.4367164937874047,0.4372526796482363,-0.2913399619984762,-0.501819829819529,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
GCOE,GCOE_USA,2005,2005,2006,2006,1,1,1,1,0,20,70-90,77.09022556390977,77,70,89,4.454243204461677,male,0,133,0.4267241379310345,RISK_GEN_ORD11B,0.23880238620031763,0.26212408563789663,0.24009574116870233,0.24244562099953626,0.26212408563789663,0.24341797825186678,0.4798956604599886,0.48325905797011354,-0.2992015662364761,-0.22588543361713104,pro,gen,gen,ord,11,NA,NA,NA,1,N.America,U.S.A.,English,Self-administered,Lifespan
