panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-29,23.212707182320443,23,18,29,3.3849578669731337,male,0,1086,0.16908951798010707,ALC_BEER_DAY_OEA,0.36508886707003324,0.3960718479871236,0.34522255818046055,0.4013847033043386,0.3960718479871236,0.3946818337860137,4.650280413985378,4.585485532073695,7.68719212163138,5.835499765202655,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-29,23.149695387293303,23,18,29,3.293464703065128,female,1,1149,0.14825796886582654,ALC_BEER_DAY_OEA,0.4640936090174164,0.22372390709432585,0.4642421707560627,0.3964304576462776,0.22372390709432585,0.3961932257311442,14.094061209356402,11.587921689485885,15.884514012875407,14.40709909553143,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-29,23.180313199105147,23,18,29,3.3376352725419154,all,0.5140939597315436,2235,0.15850903614457834,ALC_BEER_DAY_OEA,0.3812620511525368,0.3904269031256541,0.36304207863384536,0.4135514209765718,0.3904269031256541,0.4079979046786193,6.424477129803039,6.175960923500173,10.610950072579815,7.976480669675099,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,30-49,39.74853801169591,40,30,49,5.8031281499564,male,0,1368,0.07065217391304346,ALC_BEER_DAY_OEA,0.11560301955941786,0.1699383310282794,0.11220059047188162,0.14867358549285783,0.1699383310282794,0.14854630615414344,3.731143886144246,4.41212150981534,5.041579752117224,8.00472451791134,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,30-49,39.57970071567989,40,30,49,5.892841186908108,female,1,1537,0.0639464068209501,ALC_BEER_DAY_OEA,0.07934951070801727,0.25527396005620867,0.07573340326109086,0.16364383283222317,0.25527396005620867,0.16317530063154131,12.28273329384194,15.206887982424401,19.297795023119967,23.798471751896603,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,30-49,39.659208261617906,40,30,49,5.850367185475677,all,0.5290877796901893,2905,0.06711624919717407,ALC_BEER_DAY_OEA,0.12881285216382013,0.21157230767909282,0.1248233568769136,0.17594246402439442,0.21157230767909282,0.17571427621607205,5.253892836137913,6.234793689532079,7.340148559862733,11.061798061548767,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,50-69,56.782776349614394,56,50,69,5.140282932570818,male,0,778,0.07600950118764849,ALC_BEER_DAY_OEA,0.2155175534845551,0.19691309130329473,0.2155915927983354,0.22505620341495708,0.19691309130329473,0.2251957426890898,5.424744203986128,5.2287923741926425,7.2270224078858,7.208287055367264,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,50-69,56.585594989561585,56,50,69,5.1914729147832315,female,1,958,0.05148514851485153,ALC_BEER_DAY_OEA,0.23714465029957751,0.2861033701087131,0.2215252305774594,0.24590663518936032,0.2861033701087131,0.23182495005094841,15.515849976501524,18.433691324970944,15.556563725987353,19.57256739647917,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,50-69,56.673963133640555,56,50,69,5.168038727072289,all,0.5518433179723502,1736,0.06263498920086397,ALC_BEER_DAY_OEA,0.22964261357096033,0.2211184949414303,0.22962400854656517,0.24209964186494654,0.2211184949414303,0.24216359809221963,7.885567636618599,7.727732923860828,10.781085676540854,10.836575416979379,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-90,40.412022176831094,39,18,88,15.787244112711624,male,0,3427,0.10638852672750976,ALC_BEER_DAY_OEA,0.17926332200793896,0.2470632304139758,0.17834231794209834,0.22577252254460486,0.2470632304139758,0.22579490338068203,4.430437766002893,5.03021703499441,6.351175196567021,9.374286496360805,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-90,41.433716475095785,40,18,89,16.20884040462072,female,1,3915,0.08974657056498492,ALC_BEER_DAY_OEA,0.11683207310413866,0.24868867718800872,0.11258788947034064,0.21133579265633845,0.24868867718800872,0.21097539652669486,15.411142839686942,18.58416210563301,26.02718208344556,34.37759212644105,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2011,2011,1,1,1,1,0,20,10-90,40.95682375374561,40,18,89,16.020459747386575,all,0.5332334513756469,7342,0.09759095378564409,ALC_BEER_DAY_OEA,0.1863915586843015,0.2687823692592967,0.18507956277482782,0.24292457365183648,0.2687823692592967,0.24293803896783867,6.262201923304822,7.150091260500855,9.140482144137916,13.325136437602715,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2012,2012,2.0027397260273974,2.0027397260273974,2.0027397260273974,2.0027397260273974,0,20,10-29,23.267000000000003,23,18,29,3.3443827376506787,male,0,1000,0.2348890589135425,ALC_BEER_DAY_OEA,0.18185362308398942,0.2435750193863225,0.18011190595846038,0.20486817649311959,0.2435750193863225,0.20425742442482586,4.4682944016229,5.268109170857699,7.360111553352073,5.945295726368111,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2012,2012,2.0027397260273974,2.0027397260273974,2.0027397260273974,2.0027397260273974,0,20,10-29,23.135446685878964,23,18,29,3.298295308140697,female,1,1041,0.22831727205337282,ALC_BEER_DAY_OEA,-0.003174820141975158,-0.003609882969595779,-0.0023233800900201696,-0.0033217430643735506,-0.003609882969595779,-0.002535470375476831,13.115240283855863,24.03931075423055,14.251721330952602,25.91502886502078,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2012,2012,2.0027397260273974,2.0027397260273974,2.0027397260273974,2.0027397260273974,0,20,10-29,23.199902008819205,23,18,29,3.32079307651946,all,0.5100440960313571,2041,0.23155120481927716,ALC_BEER_DAY_OEA,0.1904552212017249,0.24565827606998394,0.18923226690836673,0.21176404499338491,0.24565827606998394,0.21152925941778586,6.110039960963293,7.463946239316188,9.94621988491294,8.580010211030707,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2012,2012,2.0027397260273974,2.0027397260273974,2.0027397260273974,2.0027397260273974,0,20,30-49,39.77546296296296,40,30,49,5.795195701768249,male,0,1296,0.11956521739130432,ALC_BEER_DAY_OEA,0.09536783945350988,0.1098376614020783,0.09459306566987105,0.11405310471595313,0.1098376614020783,0.11311027690854082,3.7280006036805227,3.346154018877963,4.98881940428298,4.093444356518148,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
LIKS,LIKS,2010,2010,2012,2012,2.0027397260273974,2.0027397260273974,2.0027397260273974,2.0027397260273974,0,20,30-49,39.665097511768664,40,30,49,5.878378073568826,female,1,1487,0.0943970767356882,ALC_BEER_DAY_OEA,0.01259634621576453,0.059834498144435325,0.010062272865871661,0.025804967815511066,0.059834498144435325,0.02358932964140582,11.969880175049553,13.360985420437183,18.955065660663635,15.767683925840243,fre,dom,alc,oe,NA,1,NA,NA,1,Asia,Kyrgyzstan,Multiple,Interview,Lifespan
