panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9500919830325515,0.9424657534246575,-0.08493150684931507,1.7589041095890412,0.219572225459836,20,10-29,23.594894561598224,24,18,29,3.4083453976939437,male,0,901,0.08061224489795915,RISK_GEN_COMP_ORD5A,0.35148838453873726,0.3512677688628629,0.3515012437500293,0.34525188251038114,0.3512677688628629,0.3451943062189535,0.4716018285508222,0.46048260367069926,0.04585094287979189,0.024350349383207532,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9594948311860263,0.9260273972602739,-0.0821917808219178,1.7589041095890412,0.20292699439758174,20,10-29,23.892193308550183,24,18,29,3.316133139497878,female,1,1076,0.05861767279090113,RISK_GEN_COMP_ORD5A,0.32766820876970476,0.34689872817275186,0.327599342841445,0.34577911520168497,0.34689872817275186,0.34564752264689313,0.5096075430657079,0.5230945355686992,0.40615521691093437,0.48839432241332414,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9552095675612002,0.9424657534246575,-0.08493150684931507,1.7589041095890412,0.21067409090031383,20,10-29,23.756702073849265,24,18,29,3.360882807795228,all,0.5442589782498736,1977,0.0687706076307113,RISK_GEN_COMP_ORD5A,0.3607262781629495,0.3648385416080711,0.3608335491841834,0.3647160516095539,0.3648385416080711,0.3648258082122079,0.4977276148720688,0.5017358456185844,0.2521129428278353,0.28041613498171625,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.949074352680339,0.9178082191780822,-0.2465753424657534,2.2465753424657535,0.20763825928638666,20,30-49,39.53121387283236,40,30,49,5.70069016809681,male,0,1730,0.06989247311827962,RISK_GEN_COMP_ORD5A,0.3372282907484606,0.33545205911729864,0.33682188089751486,0.33043595653921326,0.33545205911729864,0.3302111583330325,0.5083057946891233,0.508385985315161,0.22374381786669417,0.2703791803173246,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9610602988039564,0.9260273972602739,-0.16164383561643836,1.7506849315068493,0.19976603877286503,20,30-49,39.4380664652568,39,30,49,5.771592124797627,female,1,1986,0.05876777251184839,RISK_GEN_COMP_ORD5A,0.3582110955909849,0.35994400444108626,0.35786509406607336,0.3603223585602901,0.35994400444108626,0.3602254155081409,0.5666175730344416,0.5786942267204891,0.7734488644309228,0.783260453725359,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9554801893330582,0.9178082191780822,-0.2465753424657534,2.2465753424657535,0.20352920368809177,20,30-49,39.48143164693219,40,30,49,5.7381094514090645,all,0.5344456404736275,3716,0.06397984886649877,RISK_GEN_COMP_ORD5A,0.36803755935634236,0.3681304651124249,0.3680888593680257,0.3666395545145177,0.3681304651124249,0.36669065477953733,0.5481488760662937,0.5500148159176287,0.5109926684546693,0.5292255151538745,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9466647079706687,0.9178082191780822,0.2493150684931507,1.7589041095890412,0.17903521978298154,20,50-69,58.19213583556747,57,50,69,5.561470667789939,male,0,1119,0.06516290726817042,RISK_GEN_COMP_ORD5A,0.3990573043540992,0.4004182024121559,0.398913475987404,0.4006002447001237,0.4004182024121559,0.40025447849555074,0.5585187478779619,0.5828388363624206,0.5522450192547017,0.6043428012640291,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9471526905589471,0.9178082191780822,-0.16986301369863013,1.832876712328767,0.18518908728589048,20,50-69,57.74484719260838,57,50,69,5.54160522202764,female,1,1407,0.06074766355140182,RISK_GEN_COMP_ORD5A,0.34167074831446653,0.36189564652826506,0.34103913662811025,0.3563774771876469,0.36189564652826506,0.3557461830237617,0.6132098710207101,0.6220819591555083,0.8320411648314797,0.972565403167775,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9469365177496503,0.9178082191780822,-0.16986301369863013,1.832876712328767,0.18245287097858764,20,50-69,57.94299287410926,57,50,69,5.553762117071516,all,0.5570071258907363,2526,0.062708719851577,RISK_GEN_COMP_ORD5A,0.3756069627668005,0.38584248081201394,0.37521591108041674,0.3842332776598767,0.38584248081201394,0.383727162158381,0.5903153777745965,0.6075525806203178,0.7001211215842635,0.8005498581774773,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
MEPS,MEPS,H98_2004,2004,H98_2005,2005,0.9528009800645951,0.9178082191780822,0.2493150684931507,1.747945205479452,0.17196299838932672,20,70-90,76.78590785907859,76,70,85,4.721046402312871,male,0,369,0.09999999999999998,RISK_GEN_COMP_ORD5A,0.33223911317900084,0.33660751707238185,0.3327918310513101,0.3345058992269145,0.33660751707238185,0.3350682919443359,0.5831238630859055,0.5810857351479977,0.6980779627012091,0.7339594583905162,pro,gen,gen,ord,5,NA,NA,NA,1,N.America,U.S.A.,English,Interview,Lifespan
