panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
NSHAP,NSHAP,R1,2005,R2,2010,5.1366972477064214,5.164383561643835,4.506849315068493,5.835616438356165,0.2015571927130231,20,50-69,62.70489296636086,62,57,69,3.655125906770589,male,0,654,0.20146520146520142,ALC_WK_DIS8A,0.6867984984791764,0.6675788693103581,0.6870029882929166,0.679918237096291,0.6675788693103581,0.6799684285371708,1.3218181867404766,1.3637993834638995,1.1783931749920953,1.207808062336801,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.141062980789008,5.164383561643835,4.506849315068493,5.7534246575342465,0.20791930539634468,20,50-69,63.04054054054054,63,57,69,3.588181394859256,female,1,666,0.15696202531645564,ALC_WK_DIS8A,0.7533251246750889,0.6819384679424823,0.7533674239605296,0.7374221082088309,0.6819384679424823,0.7373003156002942,1.8602515197428056,1.92035296187759,2.0579149715472385,2.0744201288253294,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.138899958489,5.164383561643835,4.506849315068493,5.835616438356165,0.20472591617618768,20,50-69,62.874242424242425,63,57,69,3.6240210560126758,all,0.5045454545454545,1320,0.17961466749533872,ALC_WK_DIS8A,0.7218198652697375,0.687181343933265,0.7218385720965866,0.7149672382569936,0.687181343933265,0.71480248068205,1.5522310515534226,1.6010714922530815,1.5486573973357531,1.5753463749870478,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.1619879244303055,5.16986301369863,4.506849315068493,5.7534246575342465,0.19345815082838774,20,70-90,75.72511848341232,75,70,85,4.246589729738636,male,0,422,0.3322784810126582,ALC_WK_DIS8A,0.7548728687574445,0.7436572817567012,0.7549139389214958,0.757937162107127,0.7436572817567012,0.7578014035658609,1.419027015592303,1.4921420866254516,1.1351923003624809,1.1931373498186508,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.149755478101105,5.16986301369863,4.506849315068493,5.7534246575342465,0.1957431859073921,20,70-90,76.05719921104536,76,70,85,4.1668134626556705,female,1,507,0.33025099075297226,ALC_WK_DIS8A,0.750934359914326,0.6597204939912158,0.7482167425914417,0.7232058196314023,0.6597204939912158,0.7216231135356141,2.3003047170721684,2.425771086612628,2.527159388097281,2.759001463197478,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.155312089888966,5.16986301369863,4.506849315068493,5.7534246575342465,0.1946992062410802,20,70-90,75.90635091496233,76,70,85,4.204222596349678,all,0.5457481162540366,929,0.33117350611951046,ALC_WK_DIS8A,0.765581825632876,0.7241896043929649,0.7654077988694157,0.7583136582986654,0.7241896043929649,0.7577466174062399,1.7927699214166242,1.8888453535274923,1.7174453353578576,1.831176380556023,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.146616081886235,5.16986301369863,4.506849315068493,5.835616438356165,0.1987138888072152,20,10-90,67.81133828996283,67,57,85,7.458330860894372,male,0,1076,0.2584424534803583,ALC_WK_DIS8A,0.7160681361603872,0.6992127484626522,0.716058865914344,0.7127844792938216,0.6992127484626522,0.7125905943715145,1.3600372383434787,1.4148441965652916,1.1611595473852836,1.2046478845721476,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.144820095995516,5.16986301369863,4.506849315068493,5.7534246575342465,0.2027068981848255,20,10-90,68.66666666666667,68,57,85,7.511121825717772,female,1,1173,0.2417582417582418,ALC_WK_DIS8A,0.7532190026678753,0.6756148447806276,0.7524740452282862,0.7340052069939352,0.6756148447806276,0.7333639131414637,2.0262484946996766,2.106022732322877,2.240843754488941,2.329108826797023,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R2,2010,5.145679358253592,5.16986301369863,4.506849315068493,5.835616438356165,0.20076382389234262,20,10-90,68.25744775455757,67,57,85,7.49643858948036,all,0.5215651400622499,2249,0.24983322214809878,ALC_WK_DIS8A,0.7406458965104016,0.7035132252450913,0.7405178326687853,0.7338426900366438,0.7035132252450913,0.7334650736897581,1.6452266631540422,1.710794612650731,1.6155338814409093,1.677340571604162,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.201968193985198,10.172602739726027,9.586301369863014,11.178082191780822,0.2675294640134628,20,50-69,62.50191570881226,62,57,69,3.5695712534393236,male,0,522,0.3626373626373627,ALC_WK_DIS8A,0.6908102987606459,0.6678974401261984,0.6860621135420452,0.684912616445754,0.6678974401261984,0.6757175595205719,1.3342245142611764,1.5878010640709896,1.241491578957717,1.5349684709263989,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.214819427148194,10.172602739726027,9.591780821917808,11.26027397260274,0.2791790387527202,20,50-69,62.89454545454546,63,57,69,3.5420666470028395,female,1,550,0.30379746835443033,ALC_WK_DIS8A,0.7073269064397063,0.6898613725573111,0.7071567872993128,0.7210652058680498,0.6898613725573111,0.7200245767379008,1.7924141735562307,1.9480508244539056,1.9595592665524988,2.079521233608037,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.208561643835617,10.172602739726027,9.586301369863014,11.26027397260274,0.2735164109320468,20,50-69,62.70335820895522,62,57,69,3.559244864577387,all,0.5130597014925373,1072,0.3337476693598508,ALC_WK_DIS8A,0.7013350376912983,0.6828736304922022,0.6993228560376048,0.7053719766530678,0.6828736304922022,0.7007802410566368,1.5383383803121538,1.753443813578446,1.558683822687022,1.7855257386024144,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.198055220384697,10.172602739726027,9.509589041095891,11.093150684931507,0.2406414153283379,20,70-90,73.78756476683938,73,70,80,2.960055386799177,male,0,193,0.6946202531645569,ALC_WK_DIS8A,0.7569848833046935,0.7611287917241465,0.7540913618898546,0.7618648221572577,0.7611287917241465,0.7544603913948624,1.413335479237238,1.6595726803853705,1.142263647956576,1.3874329708454136,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.19574939564867,10.172602739726027,9.586301369863014,11.175342465753424,0.234748538154391,20,70-90,74.15808823529412,74,70,80,2.9586337513863756,female,1,272,0.6406869220607662,ALC_WK_DIS8A,0.7494974005713531,0.5987962366788283,0.7476250389822842,0.7077751034699024,0.5987962366788283,0.7010520451116464,2.2431278824529315,2.6863368962023535,2.5890648205517666,2.8249073127824844,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.196706436883193,10.172602739726027,9.509589041095891,11.175342465753424,0.23695698135613505,20,70-90,74.00430107526881,74,70,80,2.96167742757723,all,0.5849462365591398,465,0.6652267818574513,ALC_WK_DIS8A,0.7651003272660589,0.7017847572789757,0.7625450133836515,0.7512951750737611,0.7017847572789757,0.7441986519198288,1.8041788982011902,2.1214435040622535,1.7968550275215223,2.0399451007587492,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.200911964747581,10.172602739726027,9.509589041095891,11.178082191780822,0.2603853226582238,20,10-90,65.54825174825174,64,57,80,6.065363541826434,male,0,715,0.50723638869745,ALC_WK_DIS8A,0.7119982038314632,0.6947648773680987,0.707521911017193,0.7078841021010106,0.6947648773680987,0.6988907492305719,1.3574593566042654,1.610051963651927,1.217711047950184,1.4974119333294738,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.20850914908509,10.172602739726027,9.586301369863014,11.26027397260274,0.265310065171575,20,10-90,66.62165450121654,66,57,80,6.277129625361506,female,1,822,0.46864899806076277,ALC_WK_DIS8A,0.7209284172217771,0.6696343043491977,0.7202978282852402,0.7199186251908849,0.6696343043491977,0.717500484806299,1.9176039490130432,2.1363480035194664,2.1378146066141093,2.281014388475785,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R1,2005,R3,2015,10.204975000222815,10.172602739726027,9.509589041095891,11.26027397260274,0.26297249335214556,20,10-90,66.12231620039037,65,57,80,6.200691144815197,all,0.534808067664281,1537,0.4873248832555037,ALC_WK_DIS8A,0.7215565528292645,0.6912605152086239,0.7192764727590893,0.7201300593239911,0.6912605152086239,0.7147694173907326,1.612069173748754,1.8526768367581967,1.6286343356027246,1.858238971924548,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.031005679919812,5.002739726027397,4.33972602739726,6.005479452054795,0.24965803959123398,20,50-69,65.68514412416852,66,62,69,2.0084767393513387,male,0,451,0.2017699115044248,ALC_WK_DIS8A,0.7318608988741144,0.6838301879687999,0.7297139422390897,0.7095032743425246,0.6838301879687999,0.704750030813658,1.3481489500651174,1.5171251065763267,1.2436148131788916,1.415779933490759,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.025967403259674,5.002739726027397,4.33972602739726,6.090410958904109,0.2907973296014778,20,50-69,65.7080291970803,66,62,69,2.081205472442452,female,1,548,0.1620795107033639,ALC_WK_DIS8A,0.76302190521297,0.7313547816083881,0.7630317847615564,0.7726040691761779,0.7313547816083881,0.7720693311181563,1.7795091773253944,1.8812544205643214,1.8737012964811643,1.9624288157499241,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.028241940570708,5.002739726027397,4.33972602739726,6.090410958904109,0.27287234862679677,20,50-69,65.69769769769769,66,62,69,2.0477038082881247,all,0.5485485485485485,999,0.1804757998359311,ALC_WK_DIS8A,0.7499982825763387,0.7117129361739652,0.7490377522910311,0.7448203768669306,0.7117129361739652,0.7425165729232958,1.55714898212381,1.697347773262417,1.5495942514654297,1.6873125985969641,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.020937050263845,5.002739726027397,4.33972602739726,6.005479452054795,0.2469246706546978,20,70-90,75.73540856031128,75,70,85,4.188542704652597,male,0,514,0.454931071049841,ALC_WK_DIS8A,0.7182370687246311,0.726919335146731,0.7122810798266022,0.7310816281723386,0.726919335146731,0.7233323106928915,1.391424359441184,1.5993016011625132,1.1478256251358543,1.4417946655062162,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.032347148671714,5.002739726027397,4.33972602739726,6.090410958904109,0.2505775798125213,20,70-90,75.99201277955271,75,70,86,4.288955129426798,female,1,626,0.388671875,ALC_WK_DIS8A,0.762456372109624,0.6415806726580768,0.7612854033804818,0.7249562528446191,0.6415806726580768,0.7218786539333124,2.0738137633179226,2.3244183470798156,2.2743194016638197,2.478904681190101,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
NSHAP,NSHAP,R2,2010,R3,2015,5.02720259552992,5.002739726027397,4.33972602739726,6.090410958904109,0.24889303318040717,20,70-90,75.87631578947368,75,70,86,4.2440435485593655,all,0.5491228070175439,1140,0.4204372140315201,ALC_WK_DIS8A,0.7444969044716219,0.7043952674073641,0.7409627819954556,0.7379891817332243,0.7043952674073641,0.7326171106728465,1.7008992644032657,1.9246192332396683,1.649355398981634,1.9092247331716148,fre,dom,alc,dis,8,7,NA,NA,1,N.America,U.S.A.,English,Interview,Older Adults
