panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
BUNDESBANK,PHF,W1,2011,W2,2014,3.38158904109589,3.254794520547945,3.0027397260273974,4.002739726027397,0.2615368544585449,20,10-29,25.92,26,20,29,2.737395355686375,male,0,25,0.6575342465753424,RISK_FIN_ORD4A,0.6375885601171181,0.6346481679696393,0.6455696202531642,0.636180672995022,0.6346481679696393,0.6439576729561423,0.38884403393717465,0.37331126432989636,0.4439311492755321,0.3243689815962893,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.3537469782433518,3.254794520547945,3.0027397260273974,4.002739726027397,0.24718688493074012,20,10-29,25.61764705882353,26,20,29,2.984959325466271,all,0.2647058823529412,34,0.7462686567164178,RISK_FIN_ORD4A,0.3309776009590254,0.4093164141977643,0.33062880324543564,0.3666772230743631,0.4093164141977643,0.37077669827238097,0.3732342181765107,0.43364563537410133,0.3771982177199371,1.0470556174350856,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.372882303606374,3.254794520547945,3.0027397260273974,4.002739726027397,0.27466137444676364,20,30-49,40.59183673469388,41,30,49,6.177642374411329,male,0,49,0.6287878787878788,RISK_FIN_ORD4A,0.43906926751346914,0.33693375308005763,0.4350051177072659,0.3836804492739007,0.33693375308005763,0.38462751977052395,0.37366065838801127,0.46393645797354277,0.44882831363110187,1.3021288589262585,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.258371385083714,3.1246575342465754,3.0027397260273974,4.002739726027397,0.2948687292977262,20,30-49,40.111111111111114,42,30,49,6.5542909729985395,female,1,36,0.64,RISK_FIN_ORD4A,0.7136807803367935,0.7104685507680489,0.7069767441860467,0.7144759679315623,0.7104685507680489,0.7092550630913056,0.4730008963392681,0.3901109956426283,1.6445792538240755,0.5634893020545011,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.324383561643836,3.254794520547945,3.0027397260273974,4.002739726027397,0.28735987872183044,20,30-49,40.38823529411765,41,30,49,6.305881830344055,all,0.4235294117647059,85,0.6336206896551724,RISK_FIN_ORD4A,0.5465007601374897,0.48020742212594225,0.548235294117645,0.5164096649363104,0.48020742212594225,0.5187072989022515,0.414393043030497,0.43125025875887874,1.088803975386165,1.0721606748498171,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.291689497716895,3.2465753424657535,2.750684931506849,3.750684931506849,0.23381884409261075,20,50-69,59.077777777777776,59.5,50,69,5.380421807485627,male,0,90,0.4478527607361963,RISK_FIN_ORD4A,0.4226925621355798,0.41629074986890413,0.4216826265389923,0.4201158481445869,0.41629074986890413,0.4201885340800271,0.38339185730700603,0.3712031400065285,0.4521570833475108,0.42817573886600274,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.3189726027397257,3.254794520547945,2.750684931506849,3.750684931506849,0.2717103671327119,20,50-69,60.675,62,50,69,6.05204223298825,female,1,80,0.5321637426900585,RISK_FIN_ORD4A,0.6977209202115061,0.6043949169676048,0.69961977186312,0.6589239334553966,0.6043949169676048,0.6608123082364664,0.44803351148510845,0.44951578897940603,2.1738539784032436,2.363232505251708,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.3045286059629335,3.2465753424657535,2.750684931506849,3.750684931506849,0.2519693198470176,20,50-69,59.82941176470588,61,50,69,5.745104909500134,all,0.47058823529411764,170,0.49101796407185627,RISK_FIN_ORD4A,0.575441296408782,0.5386847630211355,0.5743470149253693,0.5580707432823205,0.5386847630211355,0.557475606037737,0.424556137381339,0.41563798062907825,1.1008618740285583,1.2081615214102406,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.2684263280988977,3.2465753424657535,3.0027397260273974,3.750684931506849,0.23866181615437032,20,70-90,75.39024390243902,74,70,85,4.079693914869642,male,0,41,0.5638297872340425,RISK_FIN_ORD4A,0.4139342724558868,0.4589759136477853,0.4035087719298231,0.44170557455863346,0.4589759136477853,0.43961235550055705,0.48443568579685503,0.3961140900984341,2.077011079362713,1.4635508905404373,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
BUNDESBANK,PHF,W1,2011,W2,2014,3.261344178082192,3.2465753424657535,2.750684931506849,4.002739726027397,0.25662384464841115,20,70-90,75.96875,75,70,85,4.338710034319505,female,1,64,0.5949367088607596,RISK_FIN_ORD4A,0.30508307783296046,0.3517529933265043,0.3076923076923078,0.3227682572806546,0.3517529933265043,0.32578682871352455,0.345888633450113,0.37182644807178084,1.2541088930576396,1.8635346183844848,pro,dom,inv,ord,4,NA,NA,NA,1,Europe,Germany,German,Interview,Lifespan
