panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
SHARE,SHARE_Austria,W2,2007,W4,2011,4.246015921968013,4.249315068493151,3.5835616438356164,4.920547945205479,0.2520186674094716,20,50-69,61.324607329842934,62,51,69,4.861164223532932,male,0,191,0.4049844236760125,ALC_3MO_ORD7A,0.6093984474342409,0.5969614428831446,0.6089306476447892,0.6198102289361318,0.5969614428831446,0.6189019741431562,0.523014651348918,0.4891774808202039,-0.033248273991439585,-0.13411761859656274,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.25255385242145,4.249315068493151,3.5835616438356164,5.002739726027397,0.22812819456892897,20,50-69,60.8550185873606,61,50,69,5.395321952722914,female,1,269,0.38584474885844744,ALC_3MO_ORD7A,0.45072084082281866,0.45227465572405834,0.45143507807980904,0.4552931989176835,0.45227465572405834,0.45608511994236894,0.5944155281015119,0.5952486971808015,0.6175939256574204,0.6863645675944934,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.249839189994044,4.249315068493151,3.5835616438356164,5.002739726027397,0.2380920198393816,20,50-69,61.05,62,50,69,5.179953398567306,all,0.5847826086956521,460,0.3939393939393939,ALC_3MO_ORD7A,0.571036241181426,0.5619734085616825,0.5710498666451168,0.5620500149348162,0.5619734085616825,0.5620215155939348,0.585087051381459,0.5706154632998611,0.3897792645344885,0.3570395580805906,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.329071537290715,4.331506849315068,3.835616438356164,5.002739726027397,0.28998492791827396,20,70-90,75.43055555555556,74.5,70,86,4.677866339457323,male,0,72,0.5414012738853503,ALC_3MO_ORD7A,0.4547793674997608,0.44900700724483444,0.45586511585970685,0.39812678775474963,0.44900700724483444,0.4004246699740658,0.5237003731959772,0.5121739913523469,-0.11057216446689849,0.04525505141295472,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.285605209970806,4.254794520547946,3.750684931506849,5.002739726027397,0.24313748955424802,20,70-90,76.04918032786885,76,70,86,4.095658776093087,female,1,122,0.5020408163265306,ALC_3MO_ORD7A,0.5391884065178564,0.43967454984165183,0.5391983382058784,0.49343451647762454,0.43967454984165183,0.49490475677380175,0.7693006435876261,0.810418832340953,1.3703443630902459,1.3526691214230937,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.301737042790566,4.331506849315068,3.750684931506849,5.002739726027397,0.2616115976811134,20,70-90,75.81958762886597,76,70,86,4.31930571985914,all,0.6288659793814433,194,0.5174129353233831,ALC_3MO_ORD7A,0.5726210093248517,0.5273900307416174,0.5738542954171907,0.5391175940689562,0.5273900307416174,0.540376978244387,0.7052725192610799,0.7076491786105655,0.700908142219601,0.7388990489147367,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.268753580915673,4.249315068493151,3.5835616438356164,5.002739726027397,0.26499840589920376,20,10-90,65.18631178707224,65,51,86,7.923265269342684,male,0,263,0.4497907949790795,ALC_3MO_ORD7A,0.5660117314456135,0.556964932807305,0.5662958883871927,0.5577550849048373,0.556964932807305,0.5577852630796052,0.5222221940938587,0.4950958973124215,-0.05457550346109017,-0.08367715712679763,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.262866552219458,4.249315068493151,3.5835616438356164,5.002739726027397,0.23310659832978992,20,10-90,65.59590792838875,66,50,86,8.654056919198753,female,1,391,0.42752562225475843,ALC_3MO_ORD7A,0.49174625400380306,0.4820220465895263,0.4918632880281962,0.4850563299425693,0.4820220465895263,0.4855141764586334,0.6477760736416097,0.6595317912694966,0.8227218270900846,0.872242120285249,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W4,2011,4.2652339659000464,4.249315068493151,3.5835616438356164,5.002739726027397,0.24624675940391036,20,10-90,65.43119266055047,65,50,86,8.364074315625846,all,0.5978593272171254,654,0.4366925064599483,ALC_3MO_ORD7A,0.5757543801790381,0.5639300410050652,0.5759285903509738,0.5610647578544099,0.5639300410050652,0.5612251740413512,0.6199444691525947,0.6106086731058367,0.4731000191758622,0.4563766706385893,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
SHARE,SHARE_Austria,W2,2007,W5,2013,6.379973198332341,6.33972602739726,5.7534246575342465,7.090410958904109,0.3042298972795538,20,50-69,61.09782608695652,62,51,69,4.785131303013046,male,0,184,0.426791277258567,ALC_3MO_ORD7A,0.44743120537668823,0.44949682974323973,0.4484862584199508,0.4716915126920054,0.44949682974323973,0.47262986150793507,0.48122497678689125,0.4624593273132035,-0.20662796131816666,-0.2285526409866553,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Austria,German,Interview,Older Adults
