panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.138640204221048,4.164383561643835,3.750684931506849,4.750684931506849,0.2147774312893979,20,50-69,59.750656167979,60,50,69,5.151727440474904,male,0,381,0.5296296296296297,ALC_3MO_ORD7A,0.36248517021897797,0.3553483430880603,0.3622241014284604,0.33676653950198765,0.3553483430880603,0.3365613726353512,0.5331624199223043,0.5453058923839544,0.10384349791432905,0.1270969721225063,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.115278116316482,4.087671232876712,3.750684931506849,4.668493150684932,0.21758774330259859,20,50-69,59.4270462633452,59,50,69,5.1773379929306325,female,1,562,0.4776951672862454,ALC_3MO_ORD7A,0.38364227039245274,0.3865107057322971,0.3835143075310215,0.38498000819018496,0.3865107057322971,0.3850808310282823,0.6891578730842226,0.6523188787319144,1.208882460610364,1.098659474290528,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.124717093508041,4.087671232876712,3.750684931506849,4.750684931506849,0.21664617678234255,20,50-69,59.55779427359491,60,50,69,5.166711205761972,all,0.5959703075291622,943,0.5,ALC_3MO_ORD7A,0.4578670918577563,0.44226895700897423,0.4575554618504903,0.4426066514381815,0.44226895700897423,0.4426741380014909,0.6605266248616324,0.6454571853386627,0.7151309437056562,0.7060141487022328,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.163287671232877,4.16986301369863,3.758904109589041,4.668493150684932,0.19190396705521784,20,70-90,74.99130434782609,74,70,85,4.062009813177383,male,0,115,0.6383647798742138,ALC_3MO_ORD7A,0.16562544180599667,0.15453146212374982,0.1625969742355654,0.15167559052177204,0.15453146212374982,0.149307563288375,0.647138024688626,0.703523520648287,0.4470032929429253,0.7742550944934441,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.146799501867995,4.164383561643835,3.758904109589041,4.668493150684932,0.21407376514647744,20,70-90,75.21212121212122,74,70,85,4.11094297945617,female,1,165,0.5885286783042394,ALC_3MO_ORD7A,0.17565380863738422,0.2194434644496983,0.17649020734125204,0.21353949986938217,0.2194434644496983,0.21450369702213712,0.7976956884966276,0.7967008122792728,1.9836762249633602,2.0653614579621244,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.1535714285714285,4.164383561643835,3.758904109589041,4.668493150684932,0.20506524077666405,20,70-90,75.12142857142857,74,70,85,4.08505951162497,all,0.5892857142857143,280,0.6105702364394994,ALC_3MO_ORD7A,0.27401904813339545,0.28368876172079743,0.2722119293200189,0.28689477481155845,0.28368876172079743,0.2855829038312857,0.79374497785561,0.7992093584076134,1.1784451660372925,1.3971611135588893,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.144354838709678,4.164383561643835,3.750684931506849,4.750684931506849,0.20976710771334664,20,10-90,63.284274193548384,62,50,85,8.100993496711185,male,0,496,0.5602836879432624,ALC_3MO_ORD7A,0.3338591586730273,0.32478837209782335,0.33256868685100055,0.3097997582186416,0.32478837209782335,0.30863929086800196,0.5602027851535802,0.5849371361763237,0.17453555537891582,0.2582600519141383,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.1224322134499065,4.087671232876712,3.750684931506849,4.668493150684932,0.21705098544695373,20,10-90,63.009628610729024,62,50,85,8.264809114346837,female,1,727,0.5077860528097495,ALC_3MO_ORD7A,0.3662825063229247,0.38082793516665747,0.3662484542513048,0.3782250829627806,0.38082793516665747,0.37837582800869723,0.7196166316532614,0.6895223372039488,1.3349316810367629,1.2472863266760859,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W4,2011,4.131323155501294,4.087671232876712,3.750684931506849,4.750684931506849,0.2143110048827821,20,10-90,63.121013900245295,62,50,85,8.196546813052608,all,0.5944399018806215,1223,0.5305182341650672,ALC_3MO_ORD7A,0.4333274454201357,0.4220666185346729,0.4326757997385948,0.42536757438452566,0.4220666185346729,0.425166062156583,0.6919797556691781,0.6834658556997069,0.8016296470296025,0.828326117180813,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
SHARE,SHARE_Czech_Rep,W2,2007,W5,2013,6.297064579256361,6.3342465753424655,5.7534246575342465,6.920547945205479,0.19958299874440072,20,50-69,59.475218658892125,60,50,69,5.17063779437184,male,0,343,0.5765432098765433,ALC_3MO_ORD7A,0.3775948566077478,0.38075664901326006,0.3775220007794987,0.35957186635000765,0.38075664901326006,0.3588332616784185,0.5068706794687406,0.533711392920753,0.006940044703252582,0.009511553772473627,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Czech_Rep,Czech,Interview,Older Adults
