panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
SHARE,SHARE_Israel,W2,2007,W5,2013,3.3376257797561197,3.3315068493150686,2.506849315068493,4.254794520547946,0.3237486194459663,20,50-69,61.75057208237986,62,51,69,4.158503048904846,male,0,437,0.23467600700525393,ALC_3MO_ORD7A,0.5066473543127555,0.5379130579830054,0.5060190950601867,0.5269041724422543,0.5379130579830054,0.5269684697994281,0.7543444709478249,0.7332633473640948,1.1813189609760075,1.2094673938010991,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.3537206155927617,3.336986301369863,2.506849315068493,4.16986301369863,0.30576682070261285,20,50-69,60.62808641975309,61,50,69,4.692947259798099,female,1,648,0.22395209580838327,ALC_3MO_ORD7A,0.5041429082907813,0.4872117885342034,0.5043555296544608,0.5070323786435578,0.4872117885342034,0.5071611525189387,0.7190517817106946,0.6976032417725343,2.9041520534861527,2.483715734452071,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.347238179407865,3.334246575342466,2.506849315068493,4.254794520547946,0.3130853872807063,20,50-69,61.08018433179724,61,50,69,4.517087684205634,all,0.5972350230414747,1085,0.22830725462304413,ALC_3MO_ORD7A,0.5470275708300777,0.5621998894917316,0.5466132367914824,0.560350721840183,0.5621998894917316,0.560444638101309,0.7981971291298,0.766747821395536,1.9506115958792232,1.8569121992797275,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.3712154262280776,3.33972602739726,2.6684931506849314,4.254794520547946,0.2774079550712863,20,70-90,76.05732484076434,75,70,87,4.665476547460948,male,0,314,0.3276231263383298,ALC_3MO_ORD7A,0.6311295725158306,0.5246667912711689,0.6232637205296072,0.590327020378199,0.5246667912711689,0.5826712117905986,0.837191009373091,0.8601831722292256,1.6470833295286469,2.016442259331099,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.379595852569439,3.4136986301369863,2.6684931506849314,4.254794520547946,0.2731536921822076,20,70-90,76.18508287292818,75,70,87,4.480366355566657,female,1,362,0.2642276422764228,ALC_3MO_ORD7A,0.370637153027643,0.38563275151639376,0.37025458565062813,0.3736176536675448,0.38563275151639376,0.3729976587694386,0.7427457043616834,0.7256036036086477,3.9800000590792255,4.260111166689399,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.3757031693280375,3.4136986301369863,2.6684931506849314,4.254794520547946,0.2749654517949289,20,70-90,76.12573964497041,75,70,87,4.5643241567257755,all,0.5355029585798816,676,0.29509906152241916,ALC_3MO_ORD7A,0.5821441836225426,0.4977250485735811,0.5773452590633958,0.5543183769068156,0.4977250485735811,0.5496274735740585,0.8559465775635383,0.8461931021548952,2.433481840125958,2.8022557294371393,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.35166991955931,3.334246575342466,2.506849315068493,4.254794520547946,0.305486846840938,20,10-90,67.7323568575233,67,51,87,8.306720470266809,male,0,751,0.27649325626204235,ALC_3MO_ORD7A,0.5601090827091547,0.5476236793383151,0.5574601107215464,0.5556970004040042,0.5476236793383151,0.5538671316835243,0.7880724435998142,0.7857932964983173,1.366178038152895,1.504686401078894,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.3629947104299465,3.336986301369863,2.506849315068493,4.254794520547946,0.29461800690494455,20,10-90,66.20396039603959,65,50,87,8.775697598671345,female,1,1010,0.2388847023360965,ALC_3MO_ORD7A,0.4625016088712391,0.4616556044227267,0.4625815959980582,0.47049864942117137,0.4616556044227267,0.4707411824296712,0.727929838941203,0.7097446168089085,3.251281812461431,3.010167663613489,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W2,2007,W5,2013,3.358165114777563,3.336986301369863,2.506849315068493,4.254794520547946,0.29926792231926563,20,10-90,66.85576377058491,66,50,87,8.609698680113354,all,0.5735377626348666,1761,0.25539112050739954,ALC_3MO_ORD7A,0.5609241004954367,0.5448002232220485,0.5594974537642126,0.5594784864148784,0.5448002232220485,0.5587664343459549,0.8198605094108796,0.7974306343767933,2.131762567425608,2.1798130682117542,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
SHARE,SHARE_Israel,W5,2013,W6,2015,2.076976854038734,2.084931506849315,1.3287671232876712,2.663013698630137,0.24705471238946855,20,50-69,61.40229885057471,62,50,69,4.798856838995492,male,0,435,0.33890577507598785,ALC_6DRINKS_3MO_ORD7A,0.05633413993862558,0.17441069563735723,0.055878177829399765,0.09495072387888322,0.17441069563735723,0.09444071782762684,0.6158244668197835,0.6788842964988642,5.437713185117019,5.073585439347406,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Israel,Multiple,Interview,Older Adults
