panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.054550643420506,4.079452054794521,3.421917808219178,4.668493150684932,0.19501291792527028,20,50-69,59.45075757575758,59,50,69,5.09840911619218,male,0,528,0.37809187279151946,ALC_3MO_ORD7A,0.7685996020879012,0.7565253643419426,0.768776815050255,0.7649906495782052,0.7565253643419426,0.7651062295356716,0.4174989562034669,0.42244565449395033,-0.5932450958989596,-0.5911439672411852,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.038041387350626,4.002739726027397,3.4986301369863013,4.668493150684932,0.19993659576487882,20,50-69,58.88368794326241,59,50,69,5.281085246401063,female,1,705,0.3279313632030505,ALC_3MO_ORD7A,0.8258923385937921,0.8261651979181035,0.8258113821916101,0.8097623238401764,0.8261651979181035,0.8098635531859936,0.5750696602016117,0.5825203011760933,0.0994965542700787,0.08253027485545146,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.045111044451111,4.079452054794521,3.421917808219178,4.668493150684932,0.19793221288572035,20,50-69,59.126520681265205,59,50,69,5.209122147742321,all,0.5717761557177615,1233,0.3503688092729189,ALC_3MO_ORD7A,0.8135476628733259,0.8124338037559808,0.8136293553411571,0.8041258206236794,0.8124338037559808,0.8041894780578505,0.51268611717244,0.5176762988458861,-0.1932165399117327,-0.20439576123987085,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.058363992172212,4.079452054794521,3.506849315068493,4.583561643835616,0.184313651308624,20,70-90,74.84571428571428,74,70,85,4.173558176057057,male,0,175,0.48830409356725146,ALC_3MO_ORD7A,0.7324772820968635,0.735034326195185,0.7311713681934371,0.7153147752338141,0.735034326195185,0.7151145592585593,0.5308919486008108,0.5381258888568756,-0.2055690938824004,-0.09169384641463561,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.067238644556597,4.002739726027397,3.5835616438356164,4.583561643835616,0.19045161747008324,20,70-90,75.37894736842105,75,70,86,4.110070088791844,female,1,190,0.45402298850574707,ALC_3MO_ORD7A,0.7028648373429918,0.7259110589765513,0.6976946169967698,0.7236263556928391,0.7259110589765513,0.7195387824357298,0.716845811611447,0.7440654074905912,0.5340916314596686,0.7981799615559615,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.062983674235316,4.079452054794521,3.506849315068493,4.583561643835616,0.18732935982962642,20,70-90,75.12328767123287,74,70,86,4.143528004775465,all,0.5205479452054794,365,0.47101449275362317,ALC_3MO_ORD7A,0.7357836110371082,0.7397092686244037,0.7324660170736211,0.7388676098362092,0.7397092686244037,0.7366346173224846,0.6315989347823381,0.6510635645381313,0.16627403354666778,0.3378726498582013,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.055499912313178,4.079452054794521,3.421917808219178,4.668493150684932,0.192282682494335,20,10-90,63.28307254623044,62,50,85,8.258697268607296,male,0,703,0.40973971452560876,ALC_3MO_ORD7A,0.7613390950678838,0.7553757766256259,0.7611271583091772,0.7538624820397427,0.7553757766256259,0.7537479388868376,0.4463290778474243,0.4524337732457803,-0.49938494035710873,-0.4645433327591002,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.044239687763067,4.002739726027397,3.4986301369863013,4.668493150684932,0.19821662426073605,20,10-90,62.385474860335194,60,50,86,8.431193491057558,female,1,895,0.35934144595561923,ALC_3MO_ORD7A,0.8024337058955578,0.8037375296123582,0.8024534147802671,0.7942449612333816,0.8037375296123582,0.7942467661727319,0.6049808111009992,0.61876449126439,0.18305062349771373,0.21981277258750298,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W4,2011,4.049193340991308,4.079452054794521,3.421917808219178,4.668493150684932,0.1956474037277558,20,10-90,62.78035043804756,61,50,86,8.36502480284769,all,0.5600750938673341,1598,0.3825347758887172,ALC_3MO_ORD7A,0.7964522341804467,0.7963036904682687,0.796343973972153,0.7902176060385867,0.7963036904682687,0.7900855325603915,0.5399709284820612,0.5492588360453039,-0.11550468717738446,-0.08413708418906106,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
SHARE,SHARE_Netherlands,W2,2007,W5,2013,6.074830159260497,6.082191780821918,5.501369863013698,6.668493150684932,0.233071034516949,20,50-69,59.23780487804878,59,50,69,5.229396936579017,male,0,492,0.4204946996466431,ALC_3MO_ORD7A,0.7388421311157459,0.7311003982419416,0.7384123601491744,0.7326717445799448,0.7311003982419416,0.7320391401008781,0.42330189926014195,0.4384584817230723,-0.6030867567357734,-0.5563886387049957,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Netherlands,Dutch,Interview,Older Adults
