panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
ULMS,ULMS,2003,2003,2004,2004,1.1536612355477545,1.1561643835616437,0.9424657534246575,1.452054794520548,0.06818675061676245,20,10-29,21.495821727019496,21,15,29,4.252407221325908,male,0,718,0.2680937818552498,ALC_3MO_ORD7B,0.4348661560248017,0.43854322353747566,0.42761774391568974,0.4399992891360426,0.43854322353747566,0.4334872015419141,0.6586673844548507,0.6248206121864439,0.8305549024352833,0.538504689092231,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1608432267884323,1.1616438356164382,0.9205479452054794,1.473972602739726,0.06851320934166862,20,10-29,21.364444444444445,21,15,29,4.243749866326307,female,1,900,0.25,ALC_3MO_ORD7B,0.4039662810364204,0.38511257365824453,0.4041068638665613,0.4057993959112131,0.38511257365824453,0.40593544572155066,0.6708138579026782,0.6912816993816381,1.5521736461794602,1.5772292301394053,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1576561626902826,1.158904109589041,0.9205479452054794,1.473972602739726,0.06844054862188406,20,10-29,21.422744128553767,21,15,29,4.246781531981217,all,0.5562422744128553,1618,0.25813846859238876,ALC_3MO_ORD7B,0.45644721255026843,0.44768055571476256,0.45397996048982436,0.45730748798975024,0.44768055571476256,0.4556190813987927,0.6857712272903005,0.6937219145596046,1.2098804394198688,1.0519212630328834,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1613381518990957,1.1616438356164382,0.9424657534246575,1.4821917808219178,0.06981351317749614,20,30-49,40.4014598540146,41,30,49,5.60759605945144,male,0,959,0.25253312548713946,ALC_3MO_ORD7B,0.4511449367072326,0.44997426610371366,0.45006986258912307,0.4507781706227986,0.44997426610371366,0.45054938218545587,0.5529815408904264,0.5773958003823556,0.3481375892647532,0.4021241521224278,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1638027153548542,1.1643835616438356,0.947945205479452,1.4821917808219178,0.06285520623285257,20,30-49,40.29280948851,41,30,49,5.648017709297596,female,1,1349,0.20833333333333337,ALC_3MO_ORD7B,0.41713143064246105,0.42459577734863285,0.41685062913808585,0.42744301498069925,0.42459577734863285,0.427350642758043,0.620729616402713,0.6559096170710745,1.4435413762842517,1.7197244395912115,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1627786614752735,1.1643835616438356,0.9424657534246575,1.4821917808219178,0.06583225224936401,20,30-49,40.33795493934142,41,30,49,5.630294364260586,all,0.5844887348353552,2308,0.2273183796451289,ALC_3MO_ORD7B,0.535351144131169,0.5275013174061842,0.5344857578276144,0.5339138788809024,0.5275013174061842,0.5336919926721215,0.654966245594389,0.690131717405558,0.9875677749821835,1.0929662395912083,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1589069664462122,1.1616438356164382,0.947945205479452,1.4821917808219178,0.06353803831786778,20,50-69,59.34932221063608,60,50,69,5.887956734624228,male,0,959,0.19479429051217467,ALC_3MO_ORD7B,0.5437657995357026,0.5366212552001871,0.5434292201649334,0.5392531381487504,0.5366212552001871,0.5382950757053288,0.6048561675331724,0.6357419248132126,0.5948889099627307,0.6017741892282605,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1661939696348576,1.167123287671233,0.9397260273972603,1.4712328767123288,0.05980783160860282,20,50-69,59.68517264725796,60,50,69,5.879930340885734,female,1,1477,0.15984072810011374,ALC_3MO_ORD7B,0.5243278800600709,0.4816231826359303,0.5184138308903675,0.5182426768393852,0.4816231826359303,0.5100957511931071,0.6433951773252955,0.6421350955055413,2.5711269285588085,3.324382872001968,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1633252356209363,1.1643835616438356,0.9397260273972603,1.4821917808219178,0.061393865632564416,20,50-69,59.55295566502463,60,50,69,5.884171812025356,all,0.6063218390804598,2436,0.17395727365208546,ALC_3MO_ORD7B,0.6385024133958789,0.6191129101854316,0.6372127946057673,0.6389131308608008,0.6191129101854316,0.6366978386803565,0.7323751903150298,0.7712000499236024,1.4759538919183555,1.6223835138226754,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1682917002417406,1.1616438356164382,1.0164383561643835,1.3808219178082193,0.05176303688078021,20,70-90,70.8970588235294,71,70,72,0.735855799516575,male,0,68,0.5342465753424658,ALC_3MO_ORD7B,0.546570576648993,0.5539384363214511,0.5418395984031003,0.5641596288569454,0.5539384363214511,0.5573912976408945,0.7183438996220386,0.7749707890470171,1.1365144377823175,1.3676601345201438,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1634784735812131,1.1657534246575343,0.9863013698630136,1.4054794520547946,0.060531897843291944,20,70-90,70.73214285714286,71,70,72,0.7100582752019392,female,1,112,0.4427860696517413,ALC_3MO_ORD7B,0.5227790971605868,0.3080334222906502,0.5166908563134871,0.4480462151063726,0.3080334222906502,0.43771717062601817,0.5107912918908352,0.47010675462892615,4.49354341706991,6.2084206258178405,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.165296803652968,1.163013698630137,0.9863013698630136,1.4054794520547946,0.057276020600094,20,70-90,70.79444444444445,71,70,72,0.7223272616162221,all,0.6222222222222222,180,0.4812680115273775,ALC_3MO_ORD7B,0.6290375623268435,0.5821250581934211,0.6235579966106416,0.6379195502752742,0.5821250581934211,0.6310159189153914,0.7965175733909691,0.8005982573060914,2.3288035580098656,2.7066302301173986,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.158612304450029,1.1616438356164382,0.9424657534246575,1.4821917808219178,0.06685440867826778,20,10-90,42.8683431952663,44,15,72,16.36674043432326,male,0,2704,0.2490974729241877,ALC_3MO_ORD7B,0.48858282198061587,0.4868571107400095,0.487813333040693,0.4885816696663744,0.4868571107400095,0.4882234459753841,0.6063398523597875,0.6173210923396342,0.5732496318547928,0.5298445921761734,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
ULMS,ULMS,2003,2003,2004,2004,1.1640195021665105,1.1643835616438356,0.9205479452054794,1.4821917808219178,0.06303938646068867,20,10-90,44.20531526836894,45,15,72,16.409553492061978,female,1,3838,0.21077524162039896,ALC_3MO_ORD7B,0.4616852181080623,0.45304156074490143,0.46109756550643693,0.46744339064245605,0.45304156074490143,0.46642488115567926,0.6533198613097343,0.6816001738087042,1.8631612856410467,2.13924276155739,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Ukraine,Multiple,Interview,Lifespan
