author,sample,n,prop_female,age,items,time_diff,retest,construct
Adams (1994),1,79,1,21,42,6,0.53,pers
,1,79,1,43,33,9,0.66,pers
Akse et al. (2007),1,502,0.53,12.35,6,2,0.49,pers
,2,325,0.53,16.66,6,2,0.64,pers
Allemand et al. (2007),1,455,0.46,43.7,12,4,0.8,pers
,2,420,0.49,62.4,12,4,0.8,pers
Baird et al. (2006),1,144,0.77,20,10,0.63,0.82,pers
Baltes & Nesselroade (1972),1,210,0.56,12.5,10,1,0.48,pers
,2,292,0.47,13.5,10,1,0.5,pers
,3,286,0.52,14.5,10,1,0.5,pers
,4,255,0.46,15.5,10,1,0.57,pers
,5,174,0.48,16.5,10,1,0.56,pers
Bates & Pandina (1989),1,133,0.47,12,12,3,0.34,pers
,2,141,0.47,15,12,3,0.43,pers
,3,133,0.47,18,12,3,0.51,pers
Bleidorn et al. (2009),1,172,0.84,33.05,48,5,0.79,pers
,1,172,0.84,30.6,48,10,0.73,pers
Bolton (1979),1,32,0.59,27,12,6,0.45,pers
Brief et al. (1993),1,380,0.49,61.35,12,2,0.66,pers
,1,375,0.5,60.5,12,4,0.68,pers
Butcher et al. (1989 as cited in Putnam et al. 1996),1,82,0.47,29.05,43,0.02,0.81,pers
Cairns et al. (1990),1,2429,0.53,17,40,1.5,0.51,pers
Cantoni (1955),1,211,0.47,14,35,3,0.51,pers
,1,211,0.47,17,35,10,0.48,pers
,1,211,0.47,14,35,13,0.35,pers
Caputo et al. (1966),1,52,1,18,9,1.25,0.56,pers
,2,89,0.47,20,9,0.02,0.82,pers
,3,92,0.47,20,9,0.02,0.78,pers
Carmelli et al. (1987),1,358,0,48,21,10,0.62,pers
Costa & McCrae (1978),1,140,0,29.5,12,10,0.66,pers
,2,711,0,44.5,12,10,0.68,pers
,3,118,0,68.5,12,10,0.76,pers
Costa & McCrae (1988),1,63,0,40.5,36,3,0.73,pers
,1,72,0,40.5,36,6,0.83,pers
,2,63,1,40.5,36,3,0.72,pers
,2,72,1,40.5,36,6,0.81,pers
,3,63,0,70.5,36,3,0.68,pers
,3,72,0,70.5,36,6,0.83,pers
,4,63,1,70.5,36,3,0.63,pers
,4,72,1,70.5,36,6,0.76,pers
Costa & McCrae (1992),1,165,1,52.5,30,7.3,0.74,pers
Costa et al. (1980),1,130,0,36.7,30,6.6,0.77,pers
,1,63,0,36.7,30,12.9,0.71,pers
,2,164,0,51.5,30,6.6,0.76,pers
,2,92,0,51.5,30,12.9,0.75,pers
,3,114,0,67.9,30,6.6,0.75,pers
,3,38,0,67.9,30,12.9,0.73,pers
Costa et al. (2000),1,1779,0,41.3,48,7.5,0.82,pers
,1,1779,0,41.3,48,9,0.81,pers
,2,495,1,41.3,48,7.5,0.8,pers
,2,495,1,41.3,48,9,0.8,pers
,3,367,1,45.1,48,5,0.84,pers
Crook (1943),1,60,1,20,29,6.5,0.56,pers
Darley (1938),1,319,0,20,34,0.77,0.86,pers
,2,213,1,20,34,0.77,0.86,pers
Davis & Franzoi (1991),1,103,0,15.5,7,1,0.54,pers
,2,102,1,15.5,7,1,0.59,pers
Davis & Satterly (1969),1,149,1,23,12,2.17,0.52,pers
Donnellan et al. (2005),1,449,0.57,17.6,38,7,0.38,pers
Donnellan et al. (2007),1,432,0.57,17.6,66,9,0.51,pers
Dusek & Flaherty (1981),1,330,0.47,14,5,1,0.46,pers
,1,330,0.47,13.5,5,2,0.34,pers
Farnsworth (1938),1,55,0,20,23,1,0.74,pers
,1,53,0,20,23,2,0.67,pers
,1,50,0,20,23,4,0.67,pers
German Socioeconomic Panel (GSOEP),1,1301,1,22.8,3,4,0.51,pers
,2,4419,1,44.38,3,4,0.54,pers
,3,2187,1,70.4,3,4,0.44,pers
,4,1140,0,22.6,3,4,0.5,pers
,5,4006,0,44.5,3,4,0.53,pers
,6,1968,0,69.1,3,4,0.45,pers
Gold & Andres (1985),1,167,0.47,72.92,21,0.08,0.8,pers
Gold & Henderson (1990),1,72,0.47,12.4,23,1,0.17,pers
Grigoriadis & Fekken (1992),1,96,0,30.22,54,2.71,0.52,pers
Guilford et al. (1976 as cited in Conley 1984),1,,0.47,20,30,3,0.6,pers
Hampson & Goldberg (2006),1,799,0.5,49,9,2.8,0.74,pers
Helson & Moane (1987),1,81,1,21,24,6,0.56,pers
Helson & Wink (1992),1,99,1,43,17,8,0.65,pers
Hoffmann & Wehler (1978),1,33,1,42,54,0.75,0.52,pers
Holmlund (1991),1,349,1,15,15,10,0.33,pers
Hunter et al. (1991),1,84,0,8.5,24,3,0.5,pers
,2,162,0,11,24,3,0.33,pers
,3,113,0,14,24,3,0.5,pers
,4,49,0,17,24,3,0.67,pers
,5,69,0,20,24,3,0.7,pers
,6,44,0,22.5,24,3,0.7,pers
,7,51,0,8.5,24,3,0.4,pers
,8,83,0,11,24,3,0.42,pers
,9,71,0,14,24,3,0.63,pers
,10,30,0,17,24,3,0.48,pers
,11,25,0,20,24,3,0.4,pers
,12,7,0,22.5,24,3,0.32,pers
,13,94,1,8.5,24,3,0.38,pers
,14,178,1,11,24,3,0.48,pers
,15,129,1,14,24,3,0.52,pers
,16,60,1,17,24,3,0.68,pers
,17,92,1,20,24,3,0.72,pers
,18,70,1,22.5,24,3,0.75,pers
,19,55,1,8.5,24,3,0.01,pers
,20,90,1,11,24,3,0.24,pers
,21,82,1,14,24,3,0.42,pers
,22,37,1,17,24,3,0.37,pers
,23,47,1,20,24,3,0.65,pers
,24,22,1,22.5,24,3,0.52,pers
Johnson et al. (2005),1,809,0.62,59.4,76,5,0.82,pers
Keller et al. (2005),1,881,0.47,35,13,2.1,0.72,pers
Keltikangas-Jarvinen (1989),1,153,0,16.5,17,3,0.32,pers
,2,176,1,16.5,17,3,0.22,pers
Leon et al. (1979),1,71,0,47,54,6,0.63,pers
,1,71,0,53,54,7,0.63,pers
,1,71,0,47,54,13,0.55,pers
Loehlin & Martin (2001),1,4585,0.47,29,11,8,0.59,pers
,2,1228,0.47,55.7,11,6,0.66,pers
,2,1228,0.47,47.5,11,8,0.65,pers
,2,1228,0.47,47.5,11,14,0.57,pers
Lucas et al. (1996),1,212,0.62,18,12,0.08,0.76,pers
,2,113,0.63,20.5,24,2,0.61,pers
,3,172,0.55,18,16,0.01,0.53,pers
Magnus et al. (1993),1,83,0.64,20,9,4,0.64,pers
Mann (1958),1,96,0.66,29,9,0.06,0.73,pers
Mauger (1972 as cited in Conley 1984),1,490,0.59,20,52,0.67,0.6,pers
McGue et al. (1993),1,254,0.65,19.8,76,9.7,0.59,pers
Measelle et al. (2005),1,95,0.46,6.17,8,1.08,0.48,pers
,1,70,0.46,4.92,8,1.25,0.45,pers
,1,70,0.46,4.92,8,2.33,0.31,pers
Melamed et al. (1974),1,96,1,36,12,3,0.36,pers
Meyer et al. (1988),1,100,0.47,11,10,1.5,0.46,pers
,1,98,0.47,36,12,1.5,0.37,pers
Mills (1954 as cited in Conely 1984),1,240,0.58,20,54,2,0.43,pers
Morizot & Le Blanc (2003),1,122,0,15,68,2,0.5,pers
,1,122,0,30,68,10,0.66,pers
,1,122,0,17,68,13,0.37,pers
,1,122,0,15,68,15,0.37,pers
,2,269,0,30,68,10,0.68,pers
,2,269,0,17,68,13,0.28,pers
Mortimer & Lorence (1981),1,442,0,18,6,4,0.64,pers
,1,442,0,22,6,10,0.66,pers
Mroczek & Spiro (2003),1,1199,0,66,9,1,0.71,pers
,1,1287,0,63,9,3,0.74,pers
,1,1199,0,63,9,4,0.7,pers
Muntaner et al. (1988),1,37,0.47,16,11,0.12,0.79,pers
,2,29,0.48,19,11,2,0.58,pers
Neyer & Asendorpf (2001),1,,0.54,24.6,12,4,0.6,pers
Nichols (1967),1,432,1,18,6,4,0.47,pers
,2,204,0,18,6,4,0.47,pers
,3,146,0.47,29.05,6,0.02,0.76,pers
Nolen-Hoeksema et al. (1986),1,168,0.48,9.5,48,0.17,0.43,pers
,1,168,0.48,9.5,48,0.25,0.56,pers
,1,168,0.48,9.5,48,0.33,0.5,pers
,1,168,0.48,9.5,48,0.42,0.44,pers
,1,168,0.48,9.5,48,0.58,0.48,pers
,1,168,0.48,9.5,48,0.75,0.44,pers
,1,168,0.48,9.5,48,0.83,0.57,pers
,1,168,0.48,9.5,48,1,0.35,pers
Ormel & Rijsdijk (2000),1,157,0,39.5,8,1,0.73,pers
,1,115,0,48.65,8,2,0.7,pers
,1,157,0,34.5,8,5,0.65,pers
,1,157,0,34.5,8,6,0.54,pers
,1,133,0,40.5,8,8,0.56,pers
,1,133,0,39.5,8,9,0.54,pers
,1,115,0,40.5,8,10,0.57,pers
,1,115,0,39.5,8,11,0.53,pers
,1,133,0,34.5,8,14,0.48,pers
,2,139,1,39.01,8,1,0.73,pers
,2,109,1,47.62,8,2,0.64,pers
,2,139,1,34.01,8,5,0.63,pers
,2,139,1,34.01,8,6,0.65,pers
,2,126,1,40.01,8,8,0.55,pers
,2,123,1,39.01,8,9,0.54,pers
,2,109,1,40.01,8,10,0.48,pers
,2,109,1,39.01,8,11,0.42,pers
,2,123,1,34.01,8,14,0.48,pers
Ormel & Schaufeli (1991),1,258,0.48,40,14,7,0.64,pers
,2,389,0.37,24,8,1,0.61,pers
Pedersen (1991),1,553,0.47,17,6,1.67,0.64,pers
Plant & Telford (1966),1,451,0,18,27,2,0.61,pers
,2,339,1,18,27,2,0.58,pers
,3,360,0,18,27,2,0.54,pers
,4,255,1,18,27,2,0.6,pers
,5,133,0,18,27,2,0.56,pers
,6,172,1,18,27,2,0.6,pers
Popham & Holden (1991),1,55,0.56,20.1,43,1,0.81,pers
Pullman et al. (2006),1,171,1,14,12,2,0.59,pers
,2,121,0,14,12,2,0.51,pers
Putnam et al. (1996),1,111,0,45,43,0.33,0.69,pers
Rammstedt & John (2007),1,726,0.68,21,2,0.15,0.72,pers
,2,457,0.56,25,2,0.12,0.77,pers
Rantanen et al. (2007),1,89,0,33,12,9,0.73,pers
,2,103,1,33,12,9,0.65,pers
Roberts et al. (2001),1,921,0.48,18,57,8,0.57,pers
Robins et al. (2001),1,270,0.59,18,12,4,0.61,pers
Schofield (1953),1,83,0,18.5,52,2,0.44,pers
Scollon & Diener (2006),1,673,0.52,40.55,21,2,0.71,pers
,1,649,0.52,39.9,21,4,0.72,pers
,1,566,0.52,38.55,21,6,0.67,pers
,1,482,0.52,37.2,21,8,0.64,pers
Simon & Thomas (1983),1,607,1,20,21,1,0.8,pers
,2,687,0,20,21,1,0.79,pers
,3,480,1,20,21,1,0.74,pers
,4,164,0,20,21,1,0.74,pers
Small et al. (2003),1,223,0.59,67.86,36,5.91,0.79,pers
Spiro et al. (1993 as cited in Putnam et al. 1996),1,1072,0,63,43,5,0.66,pers
Stein et al. (1986),1,193,0,16,4,4,0.44,pers
,1,193,0,14,4,8,0.3,pers
,2,461,1,16,4,4,0.45,pers
,2,461,1,14,4,8,0.32,pers
Stevens & Truss (1985),1,52,0,30.2,9,12,0.37,pers
,2,33,1,30.2,9,12,0.49,pers
