panel,sample,continent,country,sample_type,collect_mode,measure_categ,domain_name,unique_meas,unique_waves,retest_int_min,retest_int_median,retest_int_mean,retest_int_max,cor_num,unique_id,unique_resp
USOC,USOC_IP,Europe,U.K.,Lifespan,Int.,"F, B, P","Alc., Dru., Eth., Gam., Gen., Hea_gen., Inv., Smo.",12,13,0.81,2.07, 2.77, 8.11,   493,"  3,707","   25,179"
ULMS,ULMS,Europe,Ukraine,Lifespan,Int.,"F, P, B","Alc., Dri., Gen., Hea_gen., Inv., Occ., Rec., Smo.",21,4,1.15,5.08, 3.62, 5.16,   277,"  8,154","  188,729"
UAS,UAS,N.America,U.S.A.,Lifespan,Onl.,"F, P, B","Alc., Dru., Gen., Inv., Smo.",13,42,0.03,0.38, 0.46, 4.51,"32,710","  9,371","1,124,498"
TWINLIFE,TWINLIFE,Europe,Germany,Lifespan,Int.,"F, P","Alc., Dri., Eth., Gen., Occ.",18,3,1.95,2.00, 2.16, 4.06,   132,"  9,035","  169,345"
SOEP,SOEP_Core,Europe,Germany,Lifespan,Int.,"P, B, F","Dri., Gen., Hea_gen., Inv., Occ., Rec., Smo., Soc.",11,19,0.70,5.92, 6.41,18.06," 3,822"," 61,611","1,143,318"
SHARE,SHARE_Switzerland,Europe,Switzerland,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.67,4.07, 4.47,15.46,   170,"  3,442","   36,479"
SHARE,SHARE_Sweden,Europe,Sweden,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.66,4.48, 4.80,15.26,   167,"  4,869","   36,761"
SHARE,SHARE_Spain,Europe,Spain,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.95,4.04, 4.55,15.37,   174,"  6,310","   46,271"
SHARE,SHARE_Slovenia,Europe,Slovenia,Older Adults,Int.,"F, P","Alc., Inv., Smo.",6,4,1.68,3.59, 3.64, 8.43,    82,"  3,729","   27,537"
SHARE,SHARE_Netherlands,Europe,Netherlands,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,5,1.97,4.06, 5.11,15.45,    97,"  3,796","   29,557"
SHARE,SHARE_Italy,Asia,Italy,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.78,4.01, 4.57,15.46,   185,"  5,251","   45,458"
SHARE,SHARE_Israel,Europe,Israel,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,5,2.02,3.92, 5.11,13.87,    68,"  2,665","   18,784"
SHARE,SHARE_Germany,Europe,Germany,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.61,4.32, 4.64,15.43,   160,"  5,463","   33,623"
SHARE,SHARE_France,Europe,France,Older Adults,Int.,"F, P","Alc., Inv., Smo.",7,7,1.79,4.01, 4.61,14.93,   183,"  5,593","   54,205"
