panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
ADDHEALTH,ALC_DATING_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_DRUNK_YR_ORD7A,fre,dom,alc,ord,7,365,NA,NA,1,1
ADDHEALTH,ALC_FIGHT_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_FRIENDS_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_HUNGOVER_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_REGRET_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_SCHOOL_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_SEX_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_SICK_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_TRB_PARENTS_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ADDHEALTH,ALC_5DRINKS_YR_ORD7A,fre,dom,alc,ord,7,365,NA,NA,1,1
ADDHEALTH,ALC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
ADDHEALTH,ALC_DRINKS_PERTIME_OEA,fre,dom,alc,oe,NA,1,NA,NA,1,1
ADDHEALTH,ALC_DRINKS_PERTIME_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ADDHEALTH,ALC_MO_ORD7A,fre,dom,alc,ord,7,30,NA,NA,1,1
ADDHEALTH,ALC_YR_ORD7A,fre,dom,alc,ord,7,365,NA,NA,1,1
ADDHEALTH,DRIVE_ALC_CHECK,fre,dom,dri,ord,2,NA,NA,NA,0,0
ADDHEALTH,DRIVE_ALC_MO_ORD5A,fre,dom,dri,ord,5,30,NA,NA,1,1
ADDHEALTH,CANNAB_CHECK,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,CANNAB_CHECK2,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,CANNAB_CHECK3,fre,dom,dru,ord,7,NA,NA,NA,0,0
ADDHEALTH,CANNAB_MO_OEA,fre,dom,dru,oe,NA,30,NA,NA,1,1
ADDHEALTH,CANNAB_MO_ORD7A,fre,dom,dru,ord,7,30,NA,NA,1,1
ADDHEALTH,COCAINE_CHECK,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,COCAINE_CHECK2,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,COCAINE_MO_OEA,fre,dom,dru,oe,NA,30,NA,NA,1,1
ADDHEALTH,DRUG_CHECK,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,DRUG_CHECK2,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,DRUG_CHECK3,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,DRUG_MO_OEA,fre,dom,dru,oe,NA,30,NA,NA,1,1
ADDHEALTH,DRUG_NEEDLE_MO_OEA,fre,dom,dru,oe,NA,30,NA,NA,1,1
ADDHEALTH,INHALANT_CHECK,fre,dom,dru,ord,2,NA,NA,NA,0,0
ADDHEALTH,INHALANT_MO_OEA,fre,dom,dru,oe,NA,30,NA,NA,1,1
ADDHEALTH,BAD_CHECK_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,CC_WO_PERMISION_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,DAMAGE_PROPER_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,DRIVE_WO_PERMISSION_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,GRAFFITI_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,LIE_PARENTS_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,RUNAWAY_HOME_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,SELL_CANNAB_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,STEAL_HOUSE_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,STEAL_L50USD_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,STEAL_M50USD_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,STEAL_SELL_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,STEAL_STORE_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,UNRULY_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,WEAPON_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
ADDHEALTH,WEAPON_SCHOOL_MO_ORD5A,fre,dom,eth,ord,5,30,NA,NA,1,1
ADDHEALTH,RISK_GEN_ORD5A,pro,gen,gen,ord,5,NA,NA,NA,1,1
ADDHEALTH,SEX_PRTNR_NUM_OEA,fre,dom,sex,oe,NA,1,NA,NA,1,1
ADDHEALTH,CHEWTOBACCO_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
ADDHEALTH,CHEWTOBACCO_MO_DIS31A,fre,dom,smo,dis,31,30,NA,NA,1,1
ADDHEALTH,CIGARS_MO_DIS31A,fre,dom,smo,dis,31,30,NA,NA,1,1
ADDHEALTH,CIGS_DAY_OEB,fre,dom,smo,oe,NA,1,NA,NA,1,1
ADDHEALTH,CIGS_MO_DIS31A,fre,dom,smo,dis,31,30,NA,NA,1,1
ADDHEALTH,SMK_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
ADDHEALTH,SMK_CHECK2,fre,dom,smo,oe,NA,NA,NA,NA,0,0
ADDHEALTH,SMK_CHECK3,fre,dom,smo,ord,2,30,NA,NA,0,0
ADDHEALTH,SMK_CHECK4,fre,dom,smo,ord,2,30,NA,NA,0,0
ADDHEALTH,SMK_CHECK5,fre,dom,smo,ord,2,NA,NA,NA,0,0
ADDHEALTH,FIGHT_CHECK,fre,dom,eth,ord,7,NA,NA,NA,0,0
ADDHEALTH,FIGHT_FRIENDGRP_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,FIGHT_PHYS_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
ADDHEALTH,FIGHT_PHYS_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,FIGHT_WEAPON_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,INJURE_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
ADDHEALTH,WEAPON_THREAT_YR_ORD4A,fre,dom,eth,ord,4,365,NA,NA,1,1
