panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
ALP,CHOICE_INCOME_10CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INCOME_20CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INCOME_33CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INCOME_50CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INCOME_75CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_DRA_1A,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1B,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1C,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1D,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1E,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1F,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1G,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1H,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1I,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_1J,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2A,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2B,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2C,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2D,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2E,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2F,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2G,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2H,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2I,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,CHOICE_DRA_2J,beh,dom,gam,ord,2,NA,mpl,hyp,0,0
ALP,RISK_GEN_ORD101A,pro,gen,gen,ord,101,NA,NA,NA,1,1
ALP,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
ALP,RISK_GEN_ORD7A,pro,gen,gen,ord,7,NA,NA,NA,1,1
ALP,RISK_FIN_ORD101A,pro,dom,inv,ord,101,NA,NA,NA,1,1
ALP,RISK_FIN_ORD10A,pro,dom,inv,ord,10,NA,NA,NA,1,1
ALP,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
ALP,RISK_FIN_ORD7A,pro,dom,inv,ord,7,NA,NA,NA,1,1
ALP,CHOICE_INHERIT_10CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_10CUT_DK,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_20CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_20CUT_DK,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_33CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_33CUT_DK,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_50CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_50CUT_DK,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_75CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,CHOICE_INHERIT_75CUT_DK,beh,dom,inv,ord,2,NA,lot,hyp,0,0
ALP,DRA1_RISK,beh,dom,gam,com,NA,NA,mpl,hyp,1,1
ALP,DRA2_RISK,beh,dom,gam,com,NA,NA,mpl,hyp,1,1
ALP,INHERIT_CUT_RISK,beh,dom,inv,ord,6,NA,lot,hyp,1,1
ALP,INCOME_CUT_RISK,beh,dom,occ,ord,6,NA,lot,hyp,1,1
