panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
CMC,BREAKIN_CAR_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,BREAKIN_CAR_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,BREAKIN_CAR_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,DAMAGE_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,DAMAGE_PROPER_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,DAMAGE_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,DRUG_EVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
CMC,DRUG_SELL_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,DRUG_SELL_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,DRUG_SELL_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,DRUG_YR_CHECK,fre,dom,dru,ord,2,365,NA,NA,1,0,0
CMC,DRUG_YR_OEA,fre,dom,dru,oe,NA,365,NA,NA,1,1,1
CMC,FIGHT_BACK_ORD4A,pro,dom,eth,ord,4,NA,NA,NA,1,1,1
CMC,FIGHT_PHYS_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,FIGHT_PHYS_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,FIGHT_PHYS_YR_OEC,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,FIGHT_THREATEN_ORD4A,pro,dom,eth,ord,4,NA,NA,NA,1,1,1
CMC,FIGHT_WEAPON_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,FIGHT_WEAPON_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,FIGHT_WEAPON_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,GRAFFITI_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
CMC,GRAFFITI_YR_CHECK,fre,dom,eth,ord,2,365,NA,NA,1,0,0
CMC,GRAFFITI_YR_OEB,fre,dom,eth,oe,NA,365,NA,NA,1,1,1
CMC,HACK_EVER_CHECK,fre,dom,eth,ord,2,NA,NA,NA,1,0,0
