panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
ENKAVI,ALC_ACT_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ENKAVI,ALC_GUILT_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ENKAVI,ALC_MEMO_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ENKAVI,ALC_AM_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ENKAVI,ALC_STOP_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
ENKAVI,TRAFFIC_TICKET_YR_ORD7A,fre,dom,dri,ord,7,365,NA,NA,1,1
ENKAVI,CANNAB_ACT_6MO_ORD5A,fre,dom,dru,ord,5,180,NA,NA,1,1
ENKAVI,CANNAB_CHECK,fre,dom,dru,ord,2,180,NA,NA,0,0
ENKAVI,CANNAB_MEMO_6MO_ORD5A,fre,dom,dru,ord,5,180,NA,NA,1,1
ENKAVI,CANNAB_STOP_6MO_ORD5A,fre,dom,dru,ord,5,180,NA,NA,1,1
ENKAVI,CANNAB_TIME_6MO_ORD5A,fre,dom,dru,ord,5,180,NA,NA,1,1
ENKAVI,DOSPERT30_ETH,pro,dom,eth,com,NA,NA,NA,NA,1,1
ENKAVI,ART_KEEP,beh,dom,gam,com,NA,NA,dyn,inc,1,1
ENKAVI,ART_RELEASE,beh,dom,gam,com,NA,NA,dyn,inc,1,1
ENKAVI,CCT_C_RISK,beh,dom,gam,com,NA,NA,dyn,inc,1,1
ENKAVI,CCT_H_RISK,beh,dom,gam,com,NA,NA,dyn,inc,1,1
ENKAVI,HL_RISK,beh,dom,gam,com,NA,NA,mpl,inc,1,1
ENKAVI,DOSPERT30_HEA,pro,dom,hea_gen,com,NA,NA,NA,NA,1,1
ENKAVI,DOSPERT30_REC,pro,dom,rec,com,NA,NA,NA,NA,1,1
ENKAVI,CIGS_DAY_ORD8A,fre,dom,smo,ord,8,1,NA,NA,1,1
ENKAVI,DOSPERT30_SOC,pro,dom,soc,com,NA,NA,NA,NA,1,1
