panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
GCOE_IN,RISK_GEN_ORD11B,pro,gen,gen,ord,11,NA,NA,NA,1,1,1
GCOE_IN,CHOICE_INCOME_CUT_A1,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A2,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A3,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A4,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A5,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A6,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_A7,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B1,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B2,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B3,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B4,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B5,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B6,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_B7,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C1,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C2,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C3,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C4,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C5,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C6,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_INCOME_CUT_C7,beh,dom,occ,ord,2,NA,mpl,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A1,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A2,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A3,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A4,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A5,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A6,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A7,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,CHOICE_LOTTERY_IN_A8,beh,dom,gam,ord,2,NA,lot,hyp,1,0,0
GCOE_IN,LOTTERY_IN_A_RISK,beh,dom,gam,com,NA,NA,lot,hyp,8,1,1
GCOE_IN,INCOME_LIST_A_RISK,beh,dom,occ,com,NA,NA,mpl,hyp,7,1,1
GCOE_IN,INCOME_LIST_B_RISK,beh,dom,occ,com,NA,NA,mpl,hyp,7,1,1
GCOE_IN,INCOME_LIST_C_RISK,beh,dom,occ,com,NA,NA,mpl,hyp,7,1,1
