panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
GCOE_USA,CHOICE_BUY_INS_1K_USA,beh,dom,ins,ord,2,NA,NA,NA,0,0
GCOE_USA,CHOICE_BUY_INS_20_USA,beh,dom,ins,ord,2,NA,NA,NA,0,0
GCOE_USA,CHOICE_BUY_LOTTERY_1K_USA,beh,dom,gam,ord,2,NA,NA,NA,0,0
GCOE_USA,CHOICE_BUY_LOTTERY_20_USA,beh,dom,gam,ord,2,NA,NA,NA,0,0
GCOE_USA,CHOICE_INCOME_CUT_A1,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A2,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A3,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A4,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A5,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A6,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_A7,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B1,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B2,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B3,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B4,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B5,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B6,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_B7,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C1,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C2,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C3,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C4,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C5,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C6,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_CUT_C7,beh,dom,occ,ord,2,NA,mpl,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A10CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A20INC,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A30CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A30INC,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A50CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_A50INC,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_B200INC,beh,dom,occ,ord,2,NA,lot,hyp,0,0
GCOE_USA,CHOICE_INCOME_GCOE_B30INC,beh,dom,occ,ord,2,NA,lot,hyp,0,0
