panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
HRS,ALC_4DRINKS_3MO_DIS93A,fre,dom,alc,dis,93,90,NA,NA,1,1
HRS,ALC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
HRS,ALC_DRINKS_DAY_OEA,fre,dom,alc,oe,NA,1,NA,NA,1,1
HRS,ALC_WK_DIS8A,fre,dom,alc,dis,8,7,NA,NA,1,1
HRS,RISK_DRI_ORD11A,pro,dom,dri,ord,11,NA,NA,NA,1,1
HRS,CHOICE_INCOME_10CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC10CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC10CUT_A,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC10CUT_B,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC10CUT_C,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC15CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC15CUT_A,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC15CUT_B,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC15CUT_C,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC5CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC5CUT_A,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC5CUT_B,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_20INC5CUT_C,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_33CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_50CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INCOME_75CUT,beh,dom,occ,ord,2,NA,lot,hyp,0,0
HRS,ADVENTU_ORD4A,pro,gen,gen,ord,4,NA,NA,NA,1,1
HRS,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
HRS,RISK_HEA_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1
HRS,CHOICE_BUSINESS_10CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_BUSINESS_20CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_BUSINESS_33CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_BUSINESS_50CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_BUSINESS_75CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
HRS,CHOICE_INHERIT_10CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INHERIT_20CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INHERIT_33CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INHERIT_50CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,CHOICE_INHERIT_75CUT,beh,dom,inv,ord,2,NA,lot,hyp,0,0
HRS,RISK_OCC_ORD11A,pro,dom,occ,ord,11,NA,NA,NA,1,1
HRS,RISK_REC_ORD11A,pro,dom,rec,ord,11,NA,NA,NA,1,1
HRS,CIGS_DAY_OEE,fre,dom,smo,oe,NA,1,NA,NA,1,1
HRS,PACKS_DAY_OEE,fre,dom,smo,oe,NA,1,NA,NA,0,0
HRS,SMK_TIME,fre,dom,smo,ord,4,NA,NA,NA,0,0
HRS,SMK_UNIT,fre,dom,smo,ord,3,NA,NA,NA,0,0
HRS,SMKEVER_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
HRS,SMKNOW_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
HRS,INHERIT_CUT_RISK,beh,dom,inv,ord,6,NA,lot,hyp,1,1
HRS,INCOME_20INC_CUT_RISK,beh,dom,occ,ord,4,NA,lot,hyp,1,1
HRS,INCOME_CUT_RISK,beh,dom,occ,ord,6,NA,lot,hyp,1,1
HRS,BUSINESS_CUT_RISK,beh,dom,inv,ord,6,NA,lot,hyp,1,1
