panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
IFLS,CIGS_DAY_OEC,fre,dom,smo,oe,NA,1,NA,NA,1,1,1
IFLS,SMKEVER_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,SMK_TYPEA_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,SMK_TYPEB_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,SMKREC_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,SMK_TYPEC_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,SMK_TYPED_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
IFLS,TOBACCO_WK_OEA,fre,dom,smo,oe,NA,7,NA,NA,1,1,1
IFLS,CHOICE_INCOME_A_800K,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_800K_CONF,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_A_400K,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_A_600K,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_A_200K,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_B_2M,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_B_2M_CONF,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_B_12M,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_B_8M,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,CHOICE_INCOME_B_16M,beh,dom,occ,ord,2,NA,NA,NA,1,0,0
IFLS,INCOME_RISK_A_IFLS,beh,dom,occ,ord,5,NA,NA,NA,5,1,1
IFLS,INCOME_RISK_B_IFLS,beh,dom,occ,ord,5,NA,NA,NA,5,1,1
