panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
JSTAR,CHOICE_INCOME_A_JSTAR_9,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_1,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_2,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_3,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_4,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_5,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_6,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_7,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_A_JSTAR_8,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_9,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_1,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_2,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_3,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_4,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_5,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_6,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_7,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,CHOICE_INCOME_B_JSTAR_8,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
JSTAR,INCOME_RISK_A_JSTAR,beh,dom,occ,ord,10,NA,lot,hyp,9,1,1
JSTAR,INCOME_RISK_B_JSTAR,beh,dom,occ,ord,10,NA,lot,hyp,9,1,1
