panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
LSVAW_M,ALC_DRUNK_PUBLIC_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
LSVAW_M,ALC_DRUNK_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
LSVAW_M,ALC_5DRINKS_MO_ORD5A,fre,dom,alc,ord,5,30,NA,NA,1,1
LSVAW_M,ALC_DRINKS_PERTIME_ORD5A,fre,dom,alc,ord,5,1,NA,NA,1,1
LSVAW_W,ALC_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1
LSVAW_M,CANNAB_YR_ORD5A,fre,dom,dru,ord,5,365,NA,NA,1,1
LSVAW_M,DRUG_YR_ORD5B,fre,dom,dru,ord,5,365,NA,NA,1,1
LSVAW_M,AVOID_PAY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,CANNAB_SELL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,CHANGE_KEEP_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,CHEATEX_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,DAMAGE_PROPER_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,DRUG_SELL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,GRAFFITTI_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,LIE_AGE_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,PLAGIAR_YR_OR5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,ROWDY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,SELL_STEAL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,STEAL_FAM_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,STEAL_M5USD_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,WEAPON_CARRY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,RISK_GEN_ORD4C,pro,gen,gen,ord,4,NA,NA,NA,1,1
LSVAW_M,RISK_GEN_ORD4D,pro,gen,gen,ord,4,NA,NA,NA,1,1
LSVAW_M,SEX_PRTNR_YR_ORD5B,fre,dom,sex,ord,5,365,NA,NA,1,1
LSVAW_M,FIGHT_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
LSVAW_M,HIT_PHYS_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1
