panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
LSVAW_W,ALC_DRUNK_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
LSVAW_W,ALC_5DRINKS_MO_ORD5A,fre,dom,alc,ord,5,30,NA,NA,1,1,1
LSVAW_W,ALC_DRINKS_PERTIME_ORD5A,fre,dom,alc,ord,5,1,NA,NA,1,1,1
LSVAW_W,ALC_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
LSVAW_W,CANNAB_YR_ORD5A,fre,dom,dru,ord,5,365,NA,NA,1,1,1
LSVAW_W,DRUG_YR_ORD5B,fre,dom,dru,ord,5,365,NA,NA,1,1,1
LSVAW_W,AVOID_PAY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,CANNAB_SELL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,CHEATEX_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,DAMAGE_PROPER_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,DRUG_SELL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,GRAFFITTI_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,LIE_AGE_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,PLAGIAR_YR_OR5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,ROWDY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,SELL_STEAL_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,STEAL_FAM_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,STEAL_M5USD_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,WEAPON_CARRY_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,RISK_GEN_ORD5B,pro,gen,gen,ord,5,NA,NA,NA,1,1,1
LSVAW_W,SEX_PRTNR_YR_ORD5B,fre,dom,sex,ord,5,365,NA,NA,1,1,1
LSVAW_W,FIGHT_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
LSVAW_W,HIT_PHYS_YR_ORD5A,fre,dom,eth,ord,5,365,NA,NA,1,1,1
