panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
MIDUS,ALC_EFFECT_YR_ORD6A,fre,dom,alc,ord,6,365,NA,NA,1,1
MIDUS,ALC_5DRINKS_MO_OEA,fre,dom,alc,oe,NA,30,NA,NA,1,1
MIDUS,ALC_CHECK1,fre,dom,alc,oe,NA,NA,NA,NA,0,0
MIDUS,ALC_CHECK2,fre,dom,alc,ord,2,NA,NA,NA,0,0
MIDUS,ALC_CHECK3,fre,dom,alc,ord,4,30,NA,NA,0,0
MIDUS,ALC_DRINKS_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
MIDUS,ALC_MO_ORD6A,fre,dom,alc,ord,6,30,NA,NA,1,1
MIDUS,ALC_OVERCONS_YR_ORD6A,fre,dom,alc,ord,6,365,NA,NA,1,1
MIDUS,DRUG_CHECK1,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK10,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK11,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK2,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK3,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK4,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK5,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK6,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK7,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK8,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_CHECK9,fre,dom,dru,ord,2,365,NA,NA,0,0
MIDUS,DRUG_EFFECT_YR_ORD6A,fre,dom,dru,ord,6,365,NA,NA,1,1
MIDUS,DRUG_OVERCONS_YR_ORD6A,fre,dom,dru,ord,6,365,NA,NA,1,1
MIDUS,ADVENTU_ORD4A,pro,gen,gen,ord,4,NA,NA,NA,1,1
MIDUS,AGGRES_MPQ,pro,dom,eth,com,NA,NA,NA,NA,1,1
