panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
NLSY79_CYA,ALC_DRUNK_YR_ORD4A,fre,dom,alc,ord,4,365,NA,NA,1,1,1
NLSY79_CYA,ALC_5DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79_CYA,ALC_DRINKS_DAY_OEC,fre,dom,alc,oe,NA,1,NA,NA,1,1,1
NLSY79_CYA,ALC_DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79_CYA,ALC_MAX_DAY_MO_OEA,fre,dom,alc,oe,NA,30,NA,NA,1,1,1
NLSY79_CYA,ALC_MO_ORD6A,fre,dom,alc,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,ALC_YR_ORD9A,fre,dom,alc,ord,9,365,NA,NA,1,1,1
NLSY79_CYA,ALCAGE_CHECK,fre,dom,alc,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,ALCEVER_CHECK,fre,dom,alc,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,ALCREC_CHECK,fre,dom,alc,ord,5,NA,NA,NA,1,0,0
NLSY79_CYA,ALCRECENT_CHECK,fre,dom,alc,ord,5,NA,NA,NA,1,0,0
NLSY79_CYA,ALCRECENT_CHECK,fre,dom,alc,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,ALCRECENT_CHECK,fre,dom,alc,ord,6,NA,NA,NA,1,0,0
NLSY79_CYA,CANNAB_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,CANNAB_WORK_YR_ORD7A,fre,dom,dru,ord,7,365,NA,NA,1,1,1
NLSY79_CYA,CANNABAGE_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABCNT_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABCNT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABREC_CHECK,fre,dom,dru,ord,5,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,CANNABREC_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,COCAGE_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,COCAINE_CRACK_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,COCAINE_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,COCCNT_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,COCCNT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,COCCNT_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,COCEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,COCREC_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,COCREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,COCRECENT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,CRACKCNT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,CRACKCNT_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,CRACKEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,CRACKREC_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,CRACKREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,DOWNAGE_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,DOWNCNT_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,DOWNCOUNT_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,DOWNER_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,DOWNER_UPPER_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,DOWNEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,DOWNREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,DRG_HIGH_YR_ORD7A,fre,dom,dru,ord,7,365,NA,NA,1,1,1
NLSY79_CYA,DRUG_OTH_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,DRUG_WORK_YR_ORD7A,fre,dom,dru,ord,7,365,NA,NA,1,1,1
NLSY79_CYA,DRUGSOTH_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,DRUGSOTH_CHECK2,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,HALLU_MO_ORD6A,fre,dom,dru,ord,6,30,NA,NA,1,1,1
NLSY79_CYA,HALLUAGE_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,HALLUCNT_CHECK,fre,dom,dru,ord,4,NA,NA,NA,1,0,0
NLSY79_CYA,HALLUCOUNT_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,HALLUEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79_CYA,HALLUREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,HALLURECENT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79_CYA,SNIFFAGE_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,SNIFFCNT_CHECK,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79_CYA,SNIFFCNT_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
