panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,var_consider,var_include
NLSY79,ALCEVER_CHECK,fre,dom,alc,ord,2,NA,NA,NA,1,0,0
NLSY79,ALC_1DRINK_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_2DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_3DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_4DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_5DRINKS_MO_DIS31B,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_6DRINKS_MO_DIS31A,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_HUNGOVER_MO_DIS31,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,BAR_VISIT_MO_ORD6A,fre,dom,alc,ord,6,30,NA,NA,1,1,1
NLSY79,ALC_WK_DIS8C,fre,dom,alc,dis,8,7,NA,NA,1,1,1
NLSY79,ALC_BEER_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1,1
NLSY79,ALC_WINE_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1,1
NLSY79,ALC_LIQUOR_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1,1
NLSY79,CANNABREC_CHECK,fre,dom,dru,ord,7,NA,NA,NA,1,0,0
NLSY79,CANNAB_MO_ORD7B,fre,dom,dru,oe,NA,7,NA,NA,1,1,1
NLSY79,COCEVER_CHECK,fre,dom,dru,ord,6,NA,NA,NA,1,0,0
NLSY79,COCREC_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79,COCAINE_MO_ORD7A,fre,dom,dru,oe,NA,7,NA,NA,1,1,1
NLSY79,SMKEVER_CHECK,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
NLSY79,SMKEVER_CHECK2,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
NLSY79,SMKEVER_CHECK3,fre,dom,smo,ord,2,NA,NA,NA,1,0,0
NLSY79,CIGS_DAY_OEA,fre,dom,smo,oe,NA,1,NA,NA,1,1,1
NLSY79,CANNABEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79,ALCREC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,1,0,0
NLSY79,ALC_6DRINKS_MO_ORD7A,fre,dom,alc,ord,7,30,NA,NA,1,1,1
NLSY79,ALC_6DRINKS_MO_ORD6A,fre,dom,alc,ord,6,30,NA,NA,1,1,1
NLSY79,ALC_DRINKS_MO_DIS31B,fre,dom,alc,dis,31,30,NA,NA,1,1,1
NLSY79,ALC_DRINKS_CHECK,fre,dom,alc,ord,6,30,NA,NA,1,0,0
NLSY79,ALC_DRINKS_DAY_OEC,fre,dom,alc,oe,NA,1,NA,NA,1,1,1
NLSY79,ALC_STATEMENTA_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTB_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTC_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTD_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTE_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTF_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTG_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTH_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTJ_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTK_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTI_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTM_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTL_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTN_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTO_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTP_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTQ_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTR_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTS_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTT_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,ALC_STATEMENTU_YR_ORD5A,fre,dom,alc,ord,5,365,NA,NA,1,1,1
NLSY79,CHOICE_INCOME_33CUT,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
NLSY79,CHOICE_INCOME_50CUT,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
NLSY79,CHOICE_INCOME_20CUT,beh,dom,occ,ord,2,NA,lot,hyp,1,0,0
NLSY79,CANNABREC_CHECK2,fre,dom,dru,oe,NA,NA,NA,NA,1,0,0
NLSY79,COCEVER_CHECK,fre,dom,dru,ord,2,NA,NA,NA,1,0,0
NLSY79,INCOME_CUT_RISKB,beh,dom,occ,ord,4,NA,lot,hyp,3,1,1
