panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
SOEP,RISK_DRI_ORD11A,pro,dom,dri,ord,11,NA,NA,NA,1,1
SOEP,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
SOEP,RISK_HEA_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1
SOEP,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
SOEP,BANK_ALLOC,beh,dom,inv,ord,6,NA,alloc,hyp,1,1
SOEP,RISK_OCC_ORD11A,pro,dom,occ,ord,11,NA,NA,NA,1,1
SOEP,RISK_REC_ORD11A,pro,dom,rec,ord,11,NA,NA,NA,1,1
SOEP,CIGARS_DAY_OEB,fre,dom,smo,oe,NA,1,NA,NA,1,1
SOEP,CIGS_DAY_OEC,fre,dom,smo,oe,NA,1,NA,NA,1,1
SOEP,PIPES_DAY_OEB,fre,dom,smo,oe,NA,1,NA,NA,1,1
SOEP,SMK_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
SOEP,SMK_CHECK2,fre,dom,smo,ord,4,NA,NA,NA,0,0
SOEP,SMK_CHECK3,fre,dom,smo,ord,2,NA,NA,NA,0,0
SOEP,SMK_CHECK4,fre,dom,smo,ord,2,NA,NA,NA,0,0
SOEP,SMK_CHECK5,fre,dom,smo,ord,2,NA,NA,NA,0,0
SOEP,TOBACCO_DAY_OEX,fre,dom,smo,oe,NA,1,NA,NA,0,0
SOEP,RISK_SOC_ORD11A,pro,dom,soc,ord,11,NA,NA,NA,1,1
