panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
TWINLIFE,ALC_BEER_YR_ORD6A,fre,dom,alc,ord,6,365,NA,NA,1,1
TWINLIFE,ALC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
TWINLIFE,ALC_COCKTAIL_YR_ORD6A,fre,dom,alc,ord,6,365,NA,NA,1,1
TWINLIFE,ALC_WINE_YR_ORD6A,fre,dom,alc,ord,6,365,NA,NA,1,1
TWINLIFE,DRIVE_ALC_CHECK,fre,dom,dri,ord,2,NA,NA,NA,0,0
TWINLIFE,DRIVE_ALC_YR_OEA,fre,dom,dri,oe,NA,365,NA,NA,1,1
TWINLIFE,DRIVE_WO_LICENSE_CHECK,fre,dom,dri,ord,2,NA,NA,NA,0,0
TWINLIFE,CYBERBULLY_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,CYBERBULLY_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,DODGE_FARE_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,DODGE_FARE_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,DRIVE_WO_LICENSE_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,GRAFFITI_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,GRAFFITI_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,ILLEGAL_DL_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,ILLEGAL_DL_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,SHOPLIFT_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,SHOPLIFT_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,STAYOUT_NIGHT_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,STAYOUT_NIGHT_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,STEAL_PEOPLE_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,STEAL_PEOPLE_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,VANDALISE_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,VANDALISE_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,FIGHT_PHYS_YR_OEB,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,THREATEN_ROB_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,THREATEN_ROB_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
TWINLIFE,SKIP_SCHOOL_CHECK,fre,dom,occ,ord,2,NA,NA,NA,0,0
TWINLIFE,SKIP_SCHOOL_YR_OEA,fre,dom,occ,oe,NA,365,NA,NA,1,1
TWINLIFE,BULLY_CLASS_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
TWINLIFE,BULLY_CLASS_YR_OEA,fre,dom,eth,oe,NA,365,NA,NA,1,1
TWINLIFE,FIGHT_PHYS_CHECK,fre,dom,eth,ord,2,NA,NA,NA,0,0
