panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
UAS,ALC_4DRINKS_3MO_DIS93A,fre,dom,alc,dis,93,90,NA,NA,1,1
UAS,ALC_4DRINKS_WK_DIS8Af,fre,dom,alc,dis,8,7,NA,NA,1,0
UAS,ALC_4DRINKS_WK_DIS8Am,fre,dom,alc,dis,8,7,NA,NA,1,0
UAS,ALC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
UAS,ALC_DRINKS_DAY_OEA,fre,dom,alc,oe,NA,1,NA,NA,1,1
UAS,ALC_DRINKS_DAY_OED,fre,dom,alc,oe,NA,1,NA,NA,1,1
UAS,ALC_WK_DIS8A,fre,dom,alc,dis,8,7,NA,NA,1,1
UAS,ALC_WK_DIS8B,fre,dom,alc,dis,8,7,NA,NA,1,1
UAS,CANNAB_WK_DIS8A,fre,dom,dru,dis,8,7,NA,NA,1,1
UAS,DRUG_OTH_WK_DIS8A,fre,dom,dru,dis,8,7,NA,NA,1,1
UAS,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
UAS,LOTTERY_ALLOCA,beh,dom,inv,dis,10001,NA,alloc,hyp,1,1
UAS,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
UAS,CIGS_DAY_OEE,fre,dom,smo,oe,NA,1,NA,NA,1,1
UAS,PACKS_DAY_OEE,fre,dom,smo,oe,NA,1,NA,NA,1,0
UAS,SMK_WK_DIS8A,fre,dom,smo,dis,8,7,NA,NA,1,1
UAS,SMKEVER_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
UAS,SMKNOW_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
UAS,VAPE_WK_DIS8A,fre,dom,smo,dis,8,7,NA,NA,1,1
