panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
ULMS,ALC_3MO_ORD7B,fre,dom,alc,ord,7,90,NA,NA,1,1
ULMS,ALC_BEER_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_BEER_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1
ULMS,ALC_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK2,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK3,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK4,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK5,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK6,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_CHECK7,fre,dom,alc,ord,2,NA,NA,NA,0,0
ULMS,ALC_HOMEMADE_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_HOMEMADE_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1
ULMS,ALC_MO_ORD7B,fre,dom,alc,ord,7,30,NA,NA,1,1
ULMS,ALC_OTHER_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_VODKA_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_VODKA_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1
ULMS,ALC_WINE_DAY_OEB,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_WINE_DAY_OEC,fre,dom,alc,oe,NA,1,NA,NA,1,1
ULMS,ALC_WINE_WK_OEA,fre,dom,alc,oe,NA,7,NA,NA,1,1
ULMS,ALC_WINE_WK_OEB,fre,dom,alc,oe,NA,7,NA,NA,1,1
ULMS,RISK_DRI_ORD11A,pro,dom,dri,ord,11,NA,NA,NA,1,1
ULMS,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
ULMS,RISK_HEA_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1
ULMS,BANK_ALLOC,beh,dom,inv,ord,6,NA,alloc,hyp,1,1
ULMS,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
ULMS,RISK_OCC_ORD11A,pro,dom,occ,ord,11,NA,NA,NA,1,1
ULMS,RISK_REC_ORD11A,pro,dom,rec,ord,11,NA,NA,NA,1,1
ULMS,CIGS_DAY_OEF,fre,dom,smo,oe,NA,1,NA,NA,1,1
ULMS,SMO_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
ULMS,SMO_CHECK2,fre,dom,smo,ord,2,NA,NA,NA,0,0
ULMS,SMO_CHECK3,fre,dom,smo,ord,5,NA,NA,NA,0,0
