panel,varcode,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,var_consider,var_include
USOC_IP,ALC_DRUNK_MO_ORD7A,fre,dom,alc,ord,7,30,NA,NA,1,1
USOC_IP,ALC_DRUNK_YR_ORD7B,fre,dom,alc,ord,7,365,NA,NA,1,1
USOC_IP,ALC_5DRINKS_MO_ORD6A,fre,dom,alc,ord,6,30,NA,NA,1,1
USOC_IP,ALC_EVER_CHECK,fre,dom,alc,ord,2,NA,NA,NA,0,0
USOC_IP,ALC_MO_ORD5B,fre,dom,alc,ord,5,30,NA,NA,1,1
USOC_IP,DRUG_YR_ORD5A,fre,dom,dru,ord,5,365,NA,NA,1,1
USOC_IP,STAYLATE_MO_ORD4A,fre,dom,eth,ord,4,30,NA,NA,1,1
USOC_IP,CHOICE_HL_HISTA_1,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_2,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_3,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_4,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_5,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_6,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_7,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_8,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_HISTA_9,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_1,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_2,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_3,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_4,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_5,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_6,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_7,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_8,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,CHOICE_HL_LOWSTA_9,beh,dom,gam,ord,2,NA,mpl,inc,0,0
USOC_IP,LOTTERY_EG,beh,dom,gam,ord,6,NA,lot,inc,1,1
USOC_IP,RISK_GEN_ORD11A,pro,gen,gen,ord,11,NA,NA,NA,1,1
USOC_IP,RISK_HEA_ORD11A,pro,dom,hea_gen,ord,11,NA,NA,NA,1,1
USOC_IP,RISK_FIN_ORD11A,pro,dom,inv,ord,11,NA,NA,NA,1,1
USOC_IP,CIGS_DAY_OED,fre,dom,smo,oe,NA,1,NA,NA,1,1
USOC_IP,SMK_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
USOC_IP,SMK_EVER_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
USOC_IP,SMK_NOW_CHECK,fre,dom,smo,ord,2,NA,NA,NA,0,0
USOC_IP,FIGHT_PHYS_MO_ORD5A,fre,dom,eth,ord,5,30,NA,NA,1,1
USOC_IP,LS_LOTTERY_RISK,beh,dom,gam,com,NA,NA,mpl,inc,1,1
USOC_IP,HS_LOTTERY_RISK,beh,dom,gam,com,NA,NA,mpl,inc,1,1
