panel,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,survey_item,response_options,original_varcode,varcode,info_source,comment,reverse_coding,behav_type,behav_paid,dependencies
Add Health,Propensity,General,General,Ordinal,5,NA,Do you agree or disagree with the following statement? You like to take risks.,From 1 (Strongly agree) to 5 (Strongly disagree),"H2PF28 (W2)
H3SP23 (W3)
H4PE35 (W4)
H5PE6 (W5)",RISK_GEN_ORD5A,"Add Health Codebook Explorer 
https://addhealth.cpc.unc.edu/documentation/codebook-explorer/#/variable_collection/935
Wave V
Mixed-Mode Survey Codebook","asked in W2, W3, W4, W5 
",Y,NA,NA,NA
ALP,Propensity,Domain_specific,Investment,Ordinal,101,NA,"How do you see yourself: Are you generally a person who is fully prepared to take financial risks
or do you try to avoid taking financial risks?","0) Unwilling to take financial risks
...
100) Fully prepared to take financial risks","QUAL_2 (ms246)
qual_2 (ms352)
qual_2 (ms472)",RISK_FIN_ORD101A,"ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=246&meid=14&qnid=141
ms352 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=352&meid=14&qnid=141
ms472 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=472&meid=30&qnid=141



ms352 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=352","No questionnaire for ms472, this is a repeat of ms352

asked in surveys: ms246, ms352, ms472",N,NA,NA,NA
ALP,Propensity,Domain_specific,Investment,Ordinal,10,NA,"ms169: On a scale from 1 to 10, how would you rate your willingness to take risks regarding financial matters? 

ms284: When thinking of your financial investments, how willing are you to take risks?","
1) Not willing at all
....
10) Very willing

","k3new (ms169)
J2 (ms284)",RISK_FIN_ORD10A,"ms169 online codedook: https://alpdata.rand.org/index.php?page=data&p=showmodule&syid=169&meid=115

ms284 online codedook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=284&meid=5&qnid=82

ms169 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=169

ms284 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=284","asked in surveys: ms169, ms284",N,NA,NA,NA
ALP,Propensity,Domain_specific,Investment,Ordinal,11,NA,"ms197: People can behave differently in different situations. How would you rate your willingness to take risks in the following areas?In financial matters

ms342: We would now like to ask you questions about your willingness to take on risks.
How do you see yourself regarding financial matters: are you generally a person who is fully prepared to take risks or do you try to avoid risks?

","ms197:
0) Unwilling to take any risks
...
10) Fully prepared to take risks

ms342:
0) Not at all willing to take financial risks
...
10) Very willing to take financial risks
","SR2b  (ms197)
rh001 (ms342)
",RISK_FIN_ORD11A,"ms197 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=197&meid=7&qnid=62

ms197 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=197

ms342 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=342&meid=6&qnid=66

ms342 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=342","asked in surveys: ms197, ms342",N,NA,NA,NA
ALP,Propensity,Domain_specific,Investment,Ordinal,7,NA,"On a scale from 1 to 7, how would you rate your willingness to take risks regarding financial matters?","1) Not willing at all
...
7) Very willing","n5 (ms130)
d19 (ms167)
N5  (ms260)
",RISK_FIN_ORD7A,"ms130 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=130&meid=9&qnid=293
ms167 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=167&meid=7&qnid=293 
ms260 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=260&meid=5&qnid=136



ms130 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=130 
ms167 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=167 
ms260 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=260","asked in surveys: ms130, ms167, ms260",N,NA,NA,NA
ALP,Propensity,General,General,Ordinal,101,NA,"How do you see yourself: Are you generally a person who is fully prepared to take risks or do you
try to avoid taking risks?","0) Unwilling to take risks
...
100) Fully prepared to take risks","QUAL_1 (ms246)
qual_1 (ms352)
qual_1 (ms472)",RISK_GEN_ORD101A,"ms246 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=246&meid=14&qnid=140 
ms352 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=352&meid=14&qnid=140 
ms472 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=472&meid=30&qnid=140 



ms352 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=352","asked in surveys: ms246, ms352, ms472",N,NA,NA,NA
ALP,Propensity,General,General,Ordinal,11,NA,"ms197 = Are you generally a person who is fully prepared to take risks or do you try to avoid taking risks?

ms48 = How would you describe yourself: Are you generally willing to take risks or do you try to
 avoid taking risks?

ms133 = How do you see yourself: are you generally a person who is fully prepared to take risks or do you try to
 avoid risks?

ms349  =  Finally, we have a few questions on your attitude to risks and knowledge on financial matters. How do you see yourself: are you generally a person who is fully prepared to take risks or do you try to avoid risks?
","ms48 (value labels not specified)
0) coded as 1
...
10)  coded as 11

ms133
0) Not at all willing to take risks
...
10) Very willing to take risks

ms197
0) Unwilling to take any risks 
...
10) Fully prepared to take risks

ms349
0)  Not at all willing to take risks
...
10) Very willing to take risks

","
q1_risks (ms48)
A4 (ms133)
SR1 (ms197)
c6 (ms349)",RISK_GEN_ORD11A,"ms48 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=48&meid=4&qnid=391 
ms133 online codebook:  https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=133&meid=10&qnid=128 
ms197 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=197&meid=7&qnid=62 
ms349 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=349&meid=8&qnid=120 

ms48 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=48 
ms133 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=133 
ms197 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=197 
ms349 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=349","asked in surveys: ms48, ms133, ms197, ms349",N,NA,NA,NA
ALP,Propensity,General,General,Ordinal,7,NA,"More generally, how would you rate your willingness to take risks in daily activities?","1) Not willing at all
...
7) Very willing","n6 (ms130)
d20 (ms167)
N6 (ms260)
",RISK_GEN_ORD7A,"ms130 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=130&meid=9&qnid=308   
ms167 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=167&meid=7&qnid=308  
ms260 online codebook: https://alpdata.rand.org/index.php?page=data&p=showquestion&syid=260&meid=5&qnid=137



ms130 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=130 
ms167 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=167 
ms260 questionnaire: https://alpdata.rand.org/index.php?page=data&p=showsurvey&syid=260","asked in surveys: ms130, ms167, ms260",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Ethical,Composite,NA,NA,"DOSPERT Propensity Ethical Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden....

bei einer Prüfung schummeln? 
einen bedeutenden Betrag vom Einkommen nicht in der Steuererklärung angeben? 
eine Affäre mit einem verheirateten Mann oder einer verheirateten Frau haben? 
die Unterschrift von jemandem fälschen? 
die Arbeit von jemand anderem als die eigene ausgeben? 
illegal Software kopieren? 
einen kleinen Gegenstand (Lippenstift, Füller etc.) aus einem Geschäft stehlen? 
von einer bezahlten Kabelleitung fürs Fernsehen eine weitere illegale Leitung abzweigen? 

[Official: For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Cheating on an exam.                                                 
Cheating by a significant amount on your income tax return.        
Having an affair with a married man or woman.                         
Forging somebody’s signature.                                         
Passing off somebody else’s work as your own.                         
Illegally copying a piece of software.                                 
Shoplifting a small item (e.g. a lipstick or a pen).                                 
Stealing an additional TV cable connection off the one you pay for]
","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Verylikely]",Deth,DOSPERT40_ETH,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... ethical
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
BBRS,Propensity,Domain_specific,Gambling,Composite,NA,NA,"DOSPERT Propensity Gambling Score
Geben Sie für jede der folgenden Aussagen an, mit welcher Wahrscheinlichkeit Sie der genannten Aktivität oder Verhaltensweise nachgehen würden...


ein Tageseinkommen beim Pferderennen verwetten? 
bei einem Pokerspiel ein Tageseinkommen aufs Spiel setzen? 
Ihr Tageseinkommen auf das Ergebnis eines Sport-Ereignisses (Fußball, Basketball, etc.) setzen? 
das Einkommen einer Woche im Casino verspielen? 

[Official: For each of the following statements, please indicate your likelihood of engaging in each activity or behavior...
Betting a day’s income at the horse races.           
Betting a day’s income at a high stake poker game.         
Betting a day’s income on the outcome of a sporting event (e.g. baseball, soccer, or football). 
Gambling a week’s income at a casino.        ]","Calculating the average likelihood of engaging in these different activities. Based on the raw ratings of the following scale:
1 sehr unwahrscheinlich
2 unwahrscheinlich
3 nicht sicher
4 wahrscheinlich
5 sehr wahrscheinlich

[Official:                                
1 Very  unlikely
2 Unlikely
3 Not sure
4 Likely
5 Very likely]",Dgam,DOSPERT40_GAM,"BBRS codebook : https://osf.io/7ren6/
Questionnaire: https://osf.io/j693v/","data from:
main-quest_proc.csv: https://osf.io/6nzw4/
retest_basel-quest_proc.csv: https://osf.io/yn39k/
retest_berlin-quest_proc.csv: https://osf.io/cwq3x/
DOSPERT, likelihood of behavior... gambling
Translation from the original DOSPERT 40 : https://www8.gsb.columbia.edu/decisionsciences/research/tools/dospert",N,NA,NA,NA
